JUL21MAT00005.spu,JUL21MAT00004.spu,JUL21MAT00003.spu,
Wavelength,JUL21MAT00007.spu,JUL21MAT00008.spu,JUL21MAT00009.spu,JUL21MAT00010.spu,JUL21MAT00011.spu,JUL21MAT00012.spu,JUL21MAT00013.spu,JUL21MAT00014.spu,JUL21MAT00015.spu,JUL21MAT00016.spu,JUL21MAT00017.spu,JUL21MAT00018.spu,JUL21MAT00019.spu,JUL21MAT00020.spu,JUL21MAT00021.spu,JUL21MAT00022.spu,JUL21MAT00023.spu,JUL21MAT00024.spu,JUL21MAT00025.spu,JUL21MAT00026.spu,JUL21MAT00027.spu,JUL21MAT00028.spu,JUL21MAT00029.spu,JUL21MAT00030.spu,JUL21MAT00031.spu,JUL21MAT00032.spu,JUL21MAT00033.spu,JUL21MAT00034.spu,JUL21MAT00035.spu,JUL21MAT00036.spu,JUL21MAT00037.spu,JUL21MAT00038.spu,JUL21MAT00039.spu,JUL21MAT00040.spu,JUL21MAT00041.spu,JUL21MAT00042.spu,JUL21MAT00043.spu,JUL21MAT00044.spu,JUL21MAT00045.spu,JUL21MAT00046.spu,JUL21MAT00047.spu,JUL21MAT00048.spu,JUL21MAT00049.spu,JUL21MAT00050.spu,JUL21MAT00051.spu,JUL21MAT00052.spu,JUL21MAT00053.spu,JUL21MAT00054.spu,JUL21MAT00055.spu,JUL21MAT00056.spu,JUL21MAT00057.spu,JUL21MAT00058.spu,JUL21MAT00059.spu,JUL21MAT00060.spu,JUL21MAT00061.spu,JUL21MAT00062.spu,JUL21MAT00063.spu,JUL21MAT00064.spu,JUL21MAT00065.spu,JUL21MAT00066.spu,JUL21MAT00067.spu,JUL21MAT00068.spu,JUL21MAT00069.spu,JUL21MAT00070.spu,JUL21MAT00071.spu,JUL21MAT00072.spu,JUL21MAT00073.spu,JUL21MAT00074.spu,JUL21MAT00075.spu,JUL21MAT00076.spu,JUL21MAT00077.spu,JUL21MAT00078.spu,JUL21MAT00079.spu,JUL21MAT00080.spu,JUL21MAT00081.spu,JUL21MAT00082.spu,JUL21MAT00083.spu,JUL21MAT00084.spu,JUL21MAT00085.spu
 469 , 0.025038 , 0.025777 , 0.025922 , 0.027566 , 0.030934 , 0.035176 , 0.033537 , 0.03447 , 0.037477 , 0.026278 , 0.057708 , 0.027954 , 0.03226 , 0.024478 , 0.054404 , 0.041923 , 0.036949 , 0.041955 , 0.030988 , 0.043033 , 0.036911 , 0.048013 , 0.018464 , 0.025254 , 0.053601 , 0.022937 , 0.036561 , 0.033839 , 0.027501 , 0.02824 , 0.031824 , 0.029921 , 0.024823 , 0.031301 , 0.021794 , 0.026364 , 0.027744 , 0.036544 , 0.039094 , 0.027577 , 0.032724 , 0.026661 , 0.025895 , 0.028159 , 0.030433 , 0.040376 , 0.029425 , 0.025152 , 0.032891 , 0.030967 , 0.027954 , 0.028714 , 0.027383 , 0.021552 , 0.028304 , 0.025534 , 0.037245 , 0.041858 , 0.028746 , 0.045485 , 0.029393 , 0.037466 , 0.038544 , 0.020705 , 0.021363 , 0.027307 , 0.01987 , 0.028929 , 0.023168 , 0.042478 , 0.044192 , 0.0317 , 0.036496 , 0.022678 , 0.070518 , 0.027641 , 0.037423 , 0.039783 , 0.030482 
 470 , 0.024979 , 0.025704 , 0.025876 , 0.027509 , 0.03091 , 0.035144 , 0.033511 , 0.034403 , 0.037433 , 0.026225 , 0.057528 , 0.027891 , 0.032173 , 0.024388 , 0.054223 , 0.04178 , 0.03681 , 0.041833 , 0.030878 , 0.042999 , 0.036842 , 0.047996 , 0.018429 , 0.025204 , 0.053605 , 0.022921 , 0.036498 , 0.033774 , 0.027493 , 0.028202 , 0.031759 , 0.029911 , 0.024785 , 0.03127 , 0.021696 , 0.026322 , 0.027654 , 0.036407 , 0.038948 , 0.027509 , 0.032619 , 0.026607 , 0.025822 , 0.028052 , 0.030405 , 0.040356 , 0.029395 , 0.025102 , 0.032839 , 0.030867 , 0.027848 , 0.028616 , 0.0273 , 0.021508 , 0.028261 , 0.025489 , 0.037223 , 0.041823 , 0.028707 , 0.045299 , 0.029304 , 0.037326 , 0.0384 , 0.020627 , 0.021298 , 0.027214 , 0.019805 , 0.028853 , 0.023103 , 0.042462 , 0.044128 , 0.031706 , 0.03645 , 0.022631 , 0.070519 , 0.027622 , 0.037352 , 0.03977 , 0.030427 
 471 , 0.024991 , 0.025716 , 0.025883 , 0.027538 , 0.030977 , 0.035195 , 0.033572 , 0.034427 , 0.037468 , 0.026238 , 0.057505 , 0.02793 , 0.032181 , 0.024384 , 0.05413 , 0.041713 , 0.036775 , 0.041804 , 0.030869 , 0.043029 , 0.036839 , 0.048107 , 0.018446 , 0.025206 , 0.053706 , 0.022949 , 0.036554 , 0.033776 , 0.02756 , 0.028296 , 0.031772 , 0.029967 , 0.024814 , 0.031326 , 0.021622 , 0.026361 , 0.027608 , 0.036345 , 0.038881 , 0.027511 , 0.032567 , 0.026576 , 0.025808 , 0.028022 , 0.030423 , 0.040402 , 0.029408 , 0.025099 , 0.032852 , 0.030826 , 0.027796 , 0.028607 , 0.027312 , 0.021536 , 0.02828 , 0.02548 , 0.037296 , 0.04189 , 0.028768 , 0.045259 , 0.02929 , 0.03728 , 0.038349 , 0.020596 , 0.02131 , 0.0272 , 0.019795 , 0.028876 , 0.0231 , 0.042497 , 0.044174 , 0.031729 , 0.036528 , 0.022648 , 0.070696 , 0.027683 , 0.037393 , 0.039859 , 0.03045 
 472 , 0.025003 , 0.025724 , 0.025885 , 0.027561 , 0.031043 , 0.035251 , 0.033634 , 0.03445 , 0.037503 , 0.02625 , 0.057482 , 0.027964 , 0.032183 , 0.024386 , 0.054037 , 0.041646 , 0.036739 , 0.041775 , 0.030861 , 0.043059 , 0.036836 , 0.048212 , 0.018458 , 0.025208 , 0.053801 , 0.022972 , 0.036611 , 0.033784 , 0.027626 , 0.028389 , 0.03178 , 0.030028 , 0.024848 , 0.031382 , 0.021548 , 0.026401 , 0.027561 , 0.036283 , 0.038814 , 0.027518 , 0.032516 , 0.026551 , 0.025799 , 0.027991 , 0.030442 , 0.040453 , 0.029426 , 0.025095 , 0.03287 , 0.030791 , 0.027744 , 0.028593 , 0.02733 , 0.021559 , 0.028298 , 0.025476 , 0.037374 , 0.041957 , 0.028835 , 0.045214 , 0.029281 , 0.037234 , 0.038298 , 0.020565 , 0.021328 , 0.027185 , 0.019791 , 0.028894 , 0.02309 , 0.042527 , 0.044214 , 0.031753 , 0.0366 , 0.022661 , 0.070873 , 0.027739 , 0.037433 , 0.039953 , 0.030474 
 473 , 0.025016 , 0.025742 , 0.025903 , 0.027601 , 0.031116 , 0.035308 , 0.033701 , 0.03448 , 0.037549 , 0.026268 , 0.05747 , 0.028004 , 0.032196 , 0.024387 , 0.053961 , 0.041595 , 0.03671 , 0.041751 , 0.030852 , 0.0431 , 0.036845 , 0.048334 , 0.018476 , 0.025215 , 0.053918 , 0.023006 , 0.036678 , 0.033792 , 0.027703 , 0.028483 , 0.031804 , 0.030089 , 0.024882 , 0.031444 , 0.021485 , 0.02644 , 0.027521 , 0.036227 , 0.038763 , 0.027531 , 0.032481 , 0.026526 , 0.025795 , 0.027972 , 0.030471 , 0.040515 , 0.02945 , 0.025097 , 0.032895 , 0.030761 , 0.027703 , 0.02859 , 0.027343 , 0.021588 , 0.028327 , 0.025478 , 0.037452 , 0.042041 , 0.028902 , 0.045185 , 0.029267 , 0.037205 , 0.038263 , 0.02054 , 0.021346 , 0.027177 , 0.019787 , 0.028923 , 0.023098 , 0.042573 , 0.044272 , 0.031788 , 0.036689 , 0.022679 , 0.071061 , 0.027805 , 0.037484 , 0.040053 , 0.030509 
 474 , 0.025071 , 0.025852 , 0.025997 , 0.027722 , 0.031235 , 0.035475 , 0.033859 , 0.034581 , 0.0377 , 0.026369 , 0.057604 , 0.028083 , 0.032248 , 0.02443 , 0.054075 , 0.041682 , 0.036757 , 0.04179 , 0.030901 , 0.043304 , 0.037027 , 0.048574 , 0.018524 , 0.025319 , 0.054204 , 0.023083 , 0.036849 , 0.033907 , 0.027829 , 0.028589 , 0.031908 , 0.030189 , 0.024985 , 0.031585 , 0.021525 , 0.026472 , 0.027587 , 0.036294 , 0.038837 , 0.027641 , 0.032576 , 0.026558 , 0.025874 , 0.028034 , 0.030572 , 0.040696 , 0.029554 , 0.025157 , 0.032997 , 0.030804 , 0.027749 , 0.028632 , 0.027382 , 0.021612 , 0.028454 , 0.025539 , 0.037587 , 0.042275 , 0.028988 , 0.045276 , 0.029273 , 0.037296 , 0.03839 , 0.020582 , 0.021401 , 0.027242 , 0.019817 , 0.028993 , 0.023217 , 0.042792 , 0.044468 , 0.031984 , 0.036892 , 0.022732 , 0.071381 , 0.027937 , 0.037625 , 0.040222 , 0.030615 
 475 , 0.025121 , 0.025964 , 0.026099 , 0.027844 , 0.031351 , 0.035636 , 0.034015 , 0.034685 , 0.037852 , 0.026467 , 0.057737 , 0.028158 , 0.032297 , 0.024478 , 0.054187 , 0.041775 , 0.036803 , 0.041829 , 0.030941 , 0.043509 , 0.037209 , 0.048816 , 0.018572 , 0.025418 , 0.054489 , 0.023165 , 0.03702 , 0.034026 , 0.027958 , 0.028693 , 0.032016 , 0.030292 , 0.025089 , 0.03173 , 0.021566 , 0.026504 , 0.027655 , 0.036355 , 0.038911 , 0.027747 , 0.032675 , 0.026591 , 0.025948 , 0.028093 , 0.030665 , 0.040883 , 0.029665 , 0.025224 , 0.033102 , 0.030843 , 0.027796 , 0.028671 , 0.027423 , 0.021636 , 0.028579 , 0.025602 , 0.037722 , 0.042504 , 0.029076 , 0.045363 , 0.029276 , 0.037387 , 0.038511 , 0.020631 , 0.021452 , 0.027304 , 0.019853 , 0.029066 , 0.023332 , 0.043007 , 0.04466 , 0.032183 , 0.037101 , 0.022781 , 0.0717 , 0.028066 , 0.037771 , 0.040391 , 0.030719 
 476 , 0.025177 , 0.026071 , 0.026201 , 0.027967 , 0.031473 , 0.035798 , 0.034172 , 0.034784 , 0.038003 , 0.026569 , 0.057869 , 0.028233 , 0.032351 , 0.024521 , 0.054298 , 0.041862 , 0.036849 , 0.041867 , 0.030986 , 0.043715 , 0.037386 , 0.049058 , 0.01862 , 0.025518 , 0.054775 , 0.023242 , 0.037196 , 0.03414 , 0.028081 , 0.028802 , 0.032124 , 0.030395 , 0.025193 , 0.031869 , 0.021605 , 0.026537 , 0.027718 , 0.036421 , 0.03899 , 0.027859 , 0.032774 , 0.026623 , 0.026022 , 0.028157 , 0.030764 , 0.04107 , 0.029772 , 0.025285 , 0.033207 , 0.030883 , 0.027843 , 0.028715 , 0.027463 , 0.02166 , 0.028704 , 0.025664 , 0.037857 , 0.042739 , 0.029165 , 0.045454 , 0.029284 , 0.037478 , 0.038637 , 0.020673 , 0.021508 , 0.027366 , 0.019888 , 0.029138 , 0.023448 , 0.043222 , 0.044858 , 0.032384 , 0.037304 , 0.022836 , 0.072024 , 0.0282 , 0.037917 , 0.040561 , 0.030823 
 477 , 0.025235 , 0.026137 , 0.026294 , 0.02807 , 0.031606 , 0.035924 , 0.034311 , 0.034892 , 0.038168 , 0.026609 , 0.05796 , 0.028304 , 0.032421 , 0.024572 , 0.054381 , 0.041915 , 0.036848 , 0.041937 , 0.03102 , 0.04386 , 0.037478 , 0.049232 , 0.018668 , 0.025593 , 0.055027 , 0.023339 , 0.037337 , 0.034257 , 0.028163 , 0.02889 , 0.032198 , 0.030449 , 0.025295 , 0.03197 , 0.021661 , 0.026544 , 0.027766 , 0.036467 , 0.039053 , 0.027913 , 0.032807 , 0.026664 , 0.026088 , 0.028201 , 0.030862 , 0.041236 , 0.029901 , 0.02536 , 0.033312 , 0.030922 , 0.027891 , 0.028771 , 0.027511 , 0.021699 , 0.028771 , 0.02574 , 0.037994 , 0.042931 , 0.029233 , 0.045495 , 0.029314 , 0.037527 , 0.038689 , 0.020721 , 0.021558 , 0.027408 , 0.019923 , 0.029195 , 0.023459 , 0.043425 , 0.044995 , 0.032519 , 0.037472 , 0.022878 , 0.072316 , 0.028288 , 0.038026 , 0.04071 , 0.030938 
 478 , 0.025294 , 0.026187 , 0.026388 , 0.028162 , 0.031748 , 0.036036 , 0.034442 , 0.035002 , 0.038344 , 0.026633 , 0.058033 , 0.028363 , 0.032499 , 0.02463 , 0.054452 , 0.041946 , 0.036836 , 0.042017 , 0.031046 , 0.043982 , 0.037538 , 0.04938 , 0.018715 , 0.025659 , 0.055263 , 0.023444 , 0.037462 , 0.034382 , 0.028222 , 0.028967 , 0.032265 , 0.030486 , 0.025387 , 0.032058 , 0.021713 , 0.02654 , 0.027803 , 0.036504 , 0.039111 , 0.027944 , 0.032815 , 0.026709 , 0.026143 , 0.028238 , 0.030954 , 0.041402 , 0.030034 , 0.025441 , 0.033408 , 0.030954 , 0.027939 , 0.028831 , 0.027558 , 0.021751 , 0.028815 , 0.025822 , 0.038126 , 0.043105 , 0.029288 , 0.045522 , 0.029348 , 0.03756 , 0.038708 , 0.020766 , 0.021599 , 0.027449 , 0.019956 , 0.02925 , 0.023433 , 0.043617 , 0.045114 , 0.032635 , 0.037625 , 0.02291 , 0.072601 , 0.028369 , 0.038132 , 0.040852 , 0.031046 
 479 , 0.025359 , 0.026231 , 0.026482 , 0.028254 , 0.031885 , 0.036149 , 0.034573 , 0.035118 , 0.03852 , 0.026656 , 0.05811 , 0.028428 , 0.032577 , 0.024688 , 0.054528 , 0.041983 , 0.036825 , 0.042097 , 0.031073 , 0.044109 , 0.037599 , 0.049528 , 0.018761 , 0.025724 , 0.055499 , 0.023548 , 0.037588 , 0.034507 , 0.028281 , 0.02905 , 0.032327 , 0.030516 , 0.025484 , 0.032147 , 0.021771 , 0.026536 , 0.027839 , 0.036536 , 0.039164 , 0.02797 , 0.032817 , 0.026749 , 0.026198 , 0.028275 , 0.031051 , 0.041563 , 0.030167 , 0.025522 , 0.033504 , 0.030985 , 0.027981 , 0.028892 , 0.027605 , 0.021804 , 0.028859 , 0.025904 , 0.038264 , 0.04328 , 0.02935 , 0.045548 , 0.029382 , 0.037593 , 0.038728 , 0.020817 , 0.02164 , 0.027485 , 0.019993 , 0.029306 , 0.023412 , 0.043809 , 0.045232 , 0.032752 , 0.037779 , 0.022943 , 0.072881 , 0.028445 , 0.038231 , 0.041001 , 0.03116 
 480 , 0.025366 , 0.026234 , 0.026512 , 0.028286 , 0.031966 , 0.036196 , 0.034629 , 0.035153 , 0.038614 , 0.026654 , 0.058085 , 0.028428 , 0.032577 , 0.024695 , 0.054488 , 0.041955 , 0.03678 , 0.042097 , 0.031043 , 0.044155 , 0.037604 , 0.049602 , 0.018778 , 0.025748 , 0.055629 , 0.023576 , 0.037637 , 0.034542 , 0.028308 , 0.029089 , 0.032331 , 0.030524 , 0.025519 , 0.032189 , 0.021769 , 0.026507 , 0.027817 , 0.036496 , 0.039149 , 0.027964 , 0.032779 , 0.026736 , 0.02619 , 0.028259 , 0.031081 , 0.04166 , 0.030224 , 0.025541 , 0.033532 , 0.030967 , 0.027953 , 0.028887 , 0.027588 , 0.021802 , 0.028871 , 0.025928 , 0.038319 , 0.043358 , 0.029356 , 0.045486 , 0.029362 , 0.03755 , 0.038696 , 0.020825 , 0.021649 , 0.027468 , 0.019978 , 0.029302 , 0.023352 , 0.043914 , 0.045257 , 0.032817 , 0.037861 , 0.022932 , 0.073041 , 0.028461 , 0.038265 , 0.041081 , 0.03119 
 481 , 0.025293 , 0.026159 , 0.026431 , 0.028222 , 0.031946 , 0.036132 , 0.034559 , 0.03506 , 0.038571 , 0.0266 , 0.057892 , 0.028342 , 0.032436 , 0.024623 , 0.054256 , 0.041827 , 0.036677 , 0.041947 , 0.030922 , 0.04407 , 0.03751 , 0.049557 , 0.018744 , 0.025707 , 0.055578 , 0.023486 , 0.037564 , 0.034417 , 0.028271 , 0.029055 , 0.032234 , 0.030492 , 0.025446 , 0.032158 , 0.021673 , 0.026425 , 0.027689 , 0.036323 , 0.039007 , 0.027895 , 0.03267 , 0.026621 , 0.026077 , 0.028162 , 0.031015 , 0.041642 , 0.03016 , 0.025467 , 0.033437 , 0.030852 , 0.027792 , 0.028777 , 0.02746 , 0.021711 , 0.028821 , 0.02587 , 0.038245 , 0.043253 , 0.029284 , 0.045289 , 0.029256 , 0.03739 , 0.038566 , 0.020758 , 0.021586 , 0.027346 , 0.019887 , 0.029202 , 0.023235 , 0.04389 , 0.045148 , 0.0328 , 0.037809 , 0.022843 , 0.072999 , 0.028385 , 0.03819 , 0.041048 , 0.031086 
 482 , 0.02522 , 0.026089 , 0.02635 , 0.028152 , 0.03192 , 0.036063 , 0.034494 , 0.034961 , 0.038528 , 0.02654 , 0.0577 , 0.02825 , 0.032295 , 0.024558 , 0.054024 , 0.041699 , 0.036579 , 0.041797 , 0.030802 , 0.043985 , 0.03742 , 0.049512 , 0.01871 , 0.025665 , 0.055528 , 0.02339 , 0.037485 , 0.034293 , 0.028239 , 0.029021 , 0.032132 , 0.030454 , 0.025367 , 0.032132 , 0.021577 , 0.02635 , 0.02756 , 0.036144 , 0.038865 , 0.027826 , 0.032561 , 0.026507 , 0.025959 , 0.02806 , 0.030948 , 0.041628 , 0.030096 , 0.025388 , 0.033343 , 0.030742 , 0.027636 , 0.028668 , 0.027332 , 0.02162 , 0.028777 , 0.025807 , 0.03817 , 0.043154 , 0.029211 , 0.045087 , 0.029151 , 0.037225 , 0.038436 , 0.020687 , 0.021528 , 0.027218 , 0.019796 , 0.029097 , 0.023114 , 0.04386 , 0.045033 , 0.032778 , 0.037762 , 0.022755 , 0.072957 , 0.028304 , 0.03811 , 0.041015 , 0.030975 
 483 , 0.025147 , 0.026014 , 0.026268 , 0.028088 , 0.0319 , 0.035999 , 0.034423 , 0.034867 , 0.038484 , 0.026485 , 0.057507 , 0.028158 , 0.032154 , 0.024487 , 0.053798 , 0.041566 , 0.036481 , 0.041647 , 0.030681 , 0.043899 , 0.037331 , 0.049471 , 0.018682 , 0.025624 , 0.055477 , 0.023295 , 0.037412 , 0.034169 , 0.028207 , 0.028992 , 0.032035 , 0.030421 , 0.025293 , 0.0321 , 0.021481 , 0.026274 , 0.027432 , 0.035972 , 0.038723 , 0.027757 , 0.032452 , 0.026398 , 0.02584 , 0.027952 , 0.030882 , 0.041614 , 0.030026 , 0.025315 , 0.033248 , 0.030633 , 0.027476 , 0.028553 , 0.027205 , 0.02153 , 0.028727 , 0.025748 , 0.038089 , 0.043055 , 0.029138 , 0.04489 , 0.029046 , 0.03706 , 0.038311 , 0.02062 , 0.02147 , 0.027097 , 0.019705 , 0.028997 , 0.022997 , 0.043829 , 0.044917 , 0.032761 , 0.037715 , 0.022667 , 0.072918 , 0.028228 , 0.038035 , 0.040981 , 0.030871 
 484 , 0.025084 , 0.025991 , 0.026239 , 0.028004 , 0.031818 , 0.035914 , 0.034397 , 0.034797 , 0.038417 , 0.026417 , 0.057297 , 0.02809 , 0.03211 , 0.024442 , 0.053617 , 0.04146 , 0.036351 , 0.041509 , 0.030572 , 0.04384 , 0.037322 , 0.049495 , 0.018669 , 0.025586 , 0.055408 , 0.023261 , 0.037354 , 0.034144 , 0.028198 , 0.028942 , 0.031959 , 0.03041 , 0.025279 , 0.032083 , 0.021415 , 0.026201 , 0.027345 , 0.03587 , 0.038611 , 0.027685 , 0.032358 , 0.026304 , 0.02577 , 0.027847 , 0.030815 , 0.041563 , 0.029978 , 0.02529 , 0.033194 , 0.030513 , 0.027372 , 0.028489 , 0.027151 , 0.021459 , 0.028727 , 0.025689 , 0.038072 , 0.04303 , 0.029126 , 0.044719 , 0.028926 , 0.036998 , 0.038185 , 0.020574 , 0.021383 , 0.027011 , 0.019656 , 0.028878 , 0.022969 , 0.043845 , 0.044854 , 0.03273 , 0.037673 , 0.02264 , 0.072804 , 0.028236 , 0.03798 , 0.040969 , 0.030825 
 485 , 0.025023 , 0.025963 , 0.026211 , 0.027925 , 0.031736 , 0.035827 , 0.034365 , 0.034725 , 0.038354 , 0.026345 , 0.057087 , 0.028017 , 0.032064 , 0.024394 , 0.053437 , 0.041358 , 0.036214 , 0.041369 , 0.030457 , 0.043777 , 0.037305 , 0.049513 , 0.018653 , 0.025555 , 0.055345 , 0.023227 , 0.0373 , 0.034118 , 0.028183 , 0.028893 , 0.031887 , 0.030398 , 0.025264 , 0.032064 , 0.021351 , 0.02613 , 0.027253 , 0.035763 , 0.038504 , 0.027614 , 0.032258 , 0.026216 , 0.0257 , 0.027737 , 0.030753 , 0.041514 , 0.029925 , 0.02527 , 0.033134 , 0.030393 , 0.027275 , 0.028425 , 0.027092 , 0.021389 , 0.028726 , 0.02563 , 0.038053 , 0.043009 , 0.029113 , 0.044546 , 0.028801 , 0.03694 , 0.038069 , 0.020529 , 0.021297 , 0.026925 , 0.01961 , 0.028753 , 0.022937 , 0.043863 , 0.044788 , 0.032704 , 0.037628 , 0.022614 , 0.072686 , 0.028242 , 0.037924 , 0.040961 , 0.03078 
 486 , 0.024955 , 0.025935 , 0.026181 , 0.027842 , 0.031649 , 0.03574 , 0.034337 , 0.034659 , 0.03829 , 0.026278 , 0.056872 , 0.027943 , 0.032019 , 0.02435 , 0.053263 , 0.041256 , 0.036083 , 0.041224 , 0.030348 , 0.043714 , 0.037293 , 0.049535 , 0.018636 , 0.025523 , 0.055276 , 0.023193 , 0.03724 , 0.034091 , 0.028174 , 0.028848 , 0.03181 , 0.030391 , 0.02525 , 0.032045 , 0.021287 , 0.026058 , 0.027161 , 0.035655 , 0.038391 , 0.027542 , 0.032158 , 0.026123 , 0.025625 , 0.027633 , 0.030685 , 0.041465 , 0.029877 , 0.025244 , 0.033079 , 0.030273 , 0.027178 , 0.028356 , 0.027038 , 0.021314 , 0.028725 , 0.025571 , 0.038033 , 0.042981 , 0.029095 , 0.044373 , 0.028682 , 0.036876 , 0.037947 , 0.020484 , 0.021217 , 0.02684 , 0.019562 , 0.028634 , 0.022904 , 0.04388 , 0.044726 , 0.032677 , 0.037583 , 0.022588 , 0.072568 , 0.028249 , 0.037866 , 0.040951 , 0.030733 
 487 , 0.025033 , 0.026038 , 0.026263 , 0.027921 , 0.031783 , 0.03588 , 0.034473 , 0.034773 , 0.038426 , 0.026327 , 0.056986 , 0.028028 , 0.032082 , 0.024391 , 0.053333 , 0.041346 , 0.036137 , 0.041314 , 0.030403 , 0.043887 , 0.037362 , 0.049749 , 0.018705 , 0.025605 , 0.055521 , 0.023273 , 0.037388 , 0.034216 , 0.028295 , 0.028948 , 0.0319 , 0.030483 , 0.025364 , 0.032179 , 0.021336 , 0.026134 , 0.02722 , 0.035698 , 0.038453 , 0.027611 , 0.032211 , 0.026172 , 0.025685 , 0.027686 , 0.030766 , 0.041662 , 0.029991 , 0.025337 , 0.033179 , 0.030317 , 0.027226 , 0.028434 , 0.027119 , 0.021358 , 0.02883 , 0.025648 , 0.038191 , 0.043181 , 0.02921 , 0.044438 , 0.028713 , 0.036955 , 0.03802 , 0.020502 , 0.021251 , 0.026915 , 0.01962 , 0.028686 , 0.022963 , 0.044085 , 0.044887 , 0.032815 , 0.037731 , 0.022658 , 0.072846 , 0.028386 , 0.037971 , 0.041116 , 0.030825 
 488 , 0.025175 , 0.026209 , 0.026408 , 0.028085 , 0.032025 , 0.03613 , 0.034705 , 0.034983 , 0.038666 , 0.02644 , 0.057269 , 0.028193 , 0.032212 , 0.024478 , 0.053534 , 0.041538 , 0.036291 , 0.041522 , 0.030551 , 0.044192 , 0.037481 , 0.050066 , 0.018813 , 0.025748 , 0.055929 , 0.023412 , 0.037642 , 0.034421 , 0.028482 , 0.02913 , 0.032068 , 0.030637 , 0.025539 , 0.032384 , 0.02145 , 0.026279 , 0.027346 , 0.03582 , 0.038607 , 0.027748 , 0.032346 , 0.02629 , 0.025807 , 0.027828 , 0.030926 , 0.041989 , 0.030186 , 0.02548 , 0.033365 , 0.030449 , 0.027356 , 0.028584 , 0.027276 , 0.021455 , 0.028991 , 0.025791 , 0.038435 , 0.043495 , 0.029388 , 0.04462 , 0.028825 , 0.0371 , 0.038199 , 0.020549 , 0.021348 , 0.027072 , 0.019729 , 0.02883 , 0.023069 , 0.04439 , 0.045172 , 0.033038 , 0.037985 , 0.022784 , 0.073322 , 0.028595 , 0.038167 , 0.041383 , 0.030996 
 489 , 0.025323 , 0.026376 , 0.026553 , 0.02825 , 0.032267 , 0.036381 , 0.034931 , 0.035195 , 0.038906 , 0.026553 , 0.057548 , 0.028358 , 0.032337 , 0.024566 , 0.053734 , 0.041731 , 0.036441 , 0.041731 , 0.030699 , 0.044491 , 0.037601 , 0.050378 , 0.018921 , 0.025892 , 0.056339 , 0.023551 , 0.037891 , 0.034625 , 0.028669 , 0.029314 , 0.032241 , 0.030785 , 0.025715 , 0.032595 , 0.021564 , 0.026429 , 0.027477 , 0.035941 , 0.038755 , 0.02789 , 0.032482 , 0.026408 , 0.025935 , 0.027971 , 0.031081 , 0.042322 , 0.030382 , 0.025624 , 0.033546 , 0.030576 , 0.027482 , 0.028739 , 0.027434 , 0.021553 , 0.029152 , 0.025935 , 0.03868 , 0.043804 , 0.029566 , 0.044808 , 0.028938 , 0.037246 , 0.038379 , 0.020597 , 0.021445 , 0.02723 , 0.01984 , 0.028975 , 0.023169 , 0.04469 , 0.045453 , 0.033261 , 0.038234 , 0.022906 , 0.0738 , 0.028803 , 0.038369 , 0.041645 , 0.031161 
 490 , 0.025523 , 0.026595 , 0.026756 , 0.028473 , 0.032565 , 0.036699 , 0.03523 , 0.035467 , 0.039224 , 0.026718 , 0.057921 , 0.02857 , 0.032549 , 0.024721 , 0.054029 , 0.041986 , 0.036651 , 0.042007 , 0.030912 , 0.044861 , 0.037819 , 0.050793 , 0.019063 , 0.026099 , 0.056844 , 0.023747 , 0.038207 , 0.034896 , 0.028926 , 0.029555 , 0.032484 , 0.031025 , 0.025943 , 0.032866 , 0.021722 , 0.026621 , 0.02765 , 0.036139 , 0.038977 , 0.028091 , 0.032689 , 0.026578 , 0.026105 , 0.02815 , 0.03131 , 0.042707 , 0.030638 , 0.025835 , 0.033803 , 0.030767 , 0.027655 , 0.028936 , 0.027639 , 0.021701 , 0.029372 , 0.026142 , 0.038998 , 0.044199 , 0.029792 , 0.045065 , 0.029109 , 0.037464 , 0.038621 , 0.02071 , 0.021593 , 0.027434 , 0.019978 , 0.029173 , 0.023337 , 0.045087 , 0.045808 , 0.033545 , 0.038562 , 0.023133 , 0.074416 , 0.02906 , 0.038654 , 0.041997 , 0.031402 
 491 , 0.025841 , 0.026925 , 0.027093 , 0.028827 , 0.033005 , 0.037182 , 0.035687 , 0.035882 , 0.039724 , 0.027023 , 0.058499 , 0.028887 , 0.032967 , 0.025023 , 0.054544 , 0.042395 , 0.037004 , 0.042444 , 0.03126 , 0.045392 , 0.038261 , 0.05145 , 0.01929 , 0.026443 , 0.057589 , 0.024075 , 0.038667 , 0.035318 , 0.029331 , 0.029938 , 0.032902 , 0.031466 , 0.026269 , 0.033276 , 0.021983 , 0.026909 , 0.027922 , 0.03651 , 0.039344 , 0.028421 , 0.033037 , 0.026865 , 0.026383 , 0.028404 , 0.031704 , 0.04324 , 0.031032 , 0.026199 , 0.034229 , 0.031108 , 0.027938 , 0.029244 , 0.027965 , 0.021967 , 0.029737 , 0.026486 , 0.039502 , 0.044779 , 0.030149 , 0.0455 , 0.02939 , 0.037843 , 0.038998 , 0.020965 , 0.021848 , 0.027743 , 0.020173 , 0.029499 , 0.023641 , 0.045706 , 0.046329 , 0.03398 , 0.039068 , 0.023593 , 0.075346 , 0.029428 , 0.039139 , 0.042552 , 0.031818 
