JUN28MAT00009.spu,JUN28MAT00008.spu,JUN28MAT00007.spu,JUN28MAT00006.spu,JUN28MAT00005.spu,
Wavelength,JUN28MAT00010.spu,JUN28MAT00011.spu,JUN28MAT00012.spu,JUN28MAT00013.spu,JUN28MAT00014.spu,JUN28MAT00015.spu,JUN28MAT00016.spu,JUN28MAT00017.spu,JUN28MAT00018.spu,JUN28MAT00019.spu,JUN28MAT00020.spu,JUN28MAT00021.spu,JUN28MAT00022.spu,JUN28MAT00023.spu,JUN28MAT00024.spu,JUN28MAT00025.spu,JUN28MAT00026.spu,JUN28MAT00027.spu,JUN28MAT00028.spu,JUN28MAT00029.spu,JUN28MAT00030.spu,JUN28MAT00031.spu,JUN28MAT00032.spu,JUN28MAT00033.spu,JUN28MAT00034.spu,JUN28MAT00035.spu,JUN28MAT00036.spu,JUN28MAT00037.spu,JUN28MAT00038.spu,JUN28MAT00039.spu,JUN28MAT00040.spu,JUN28MAT00041.spu,JUN28MAT00042.spu,JUN28MAT00043.spu,JUN28MAT00044.spu,JUN28MAT00045.spu,JUN28MAT00046.spu,JUN28MAT00047.spu,JUN28MAT00048.spu,JUN28MAT00049.spu,JUN28MAT00050.spu,JUN28MAT00051.spu,JUN28MAT00052.spu,JUN28MAT00053.spu,JUN28MAT00054.spu,JUN28MAT00055.spu,JUN28MAT00056.spu,JUN28MAT00057.spu,JUN28MAT00058.spu,JUN28MAT00059.spu,JUN28MAT00060.spu,JUN28MAT00061.spu,JUN28MAT00062.spu,JUN28MAT00063.spu,JUN28MAT00064.spu,JUN28MAT00065.spu,JUN28MAT00066.spu,JUN28MAT00067.spu,JUN28MAT00068.spu,JUN28MAT00069.spu,JUN28MAT00070.spu,JUN28MAT00071.spu,JUN28MAT00072.spu,JUN28MAT00073.spu,JUN28MAT00074.spu,JUN28MAT00075.spu,JUN28MAT00076.spu,JUN28MAT00077.spu,JUN28MAT00078.spu,JUN28MAT00079.spu,JUN28MAT00080.spu,JUN28MAT00081.spu,JUN28MAT00082.spu,JUN28MAT00083.spu,JUN28MAT00084.spu
 431 , 0.014906 , 0.019176 , 0.021666 , 0.022301 , 0.021911 , 0.032755 , 0.030887 , 0.025683 , 0.017475 , 0.025571 , 0.029244 , 0.039718 , 0.027924 , 0.032771 , 0.025422 , 0.037207 , 0.023978 , 0.031837 , 0.04793 , 0.023077 , 0.031016 , 0.030854 , 0.019882 , 0.016637 , 0.027053 , 0.029754 , 0.018857 , 0.022293 , 0.0195 , 0.019023 , 0.019861 , 0.025986 , 0.017193 , 0.016682 , 0.020687 , 0.016379 , 0.019712 , 0.022222 , 0.022036 , 0.03973 , 0.019214 , 0.018292 , 0.014885 , 0.01379 , 0.022949 , 0.027713 , 0.024276 , 0.025463 , 0.017072 , 0.019529 , 0.032933 , 0.023131 , 0.020284 , 0.019737 , 0.015429 , 0.032418 , 0.019558 , 0.028605 , 0.032427 , 0.013001 , 0.014433 , 0.019297 , 0.014582 , 0.01557 , 0.018085 , 0.024584 , 0.025106 , 0.02331 , 0.022841 , 0.021932 , 0.038726 , 0.020712 , 0.027912 , 0.024405 , 0.017251 
 432 , 0.015139 , 0.019373 , 0.021947 , 0.022595 , 0.022052 , 0.033132 , 0.031222 , 0.025947 , 0.017693 , 0.025881 , 0.029605 , 0.040091 , 0.028234 , 0.033195 , 0.025709 , 0.037513 , 0.024188 , 0.032117 , 0.048254 , 0.023293 , 0.031427 , 0.031385 , 0.020179 , 0.016869 , 0.027448 , 0.030152 , 0.019097 , 0.022595 , 0.019766 , 0.019352 , 0.020142 , 0.026319 , 0.017454 , 0.016873 , 0.020974 , 0.016648 , 0.019987 , 0.022424 , 0.022236 , 0.040142 , 0.019569 , 0.0186 , 0.015151 , 0.014014 , 0.023197 , 0.028054 , 0.02461 , 0.025897 , 0.017333 , 0.019812 , 0.033308 , 0.023452 , 0.020597 , 0.020025 , 0.015645 , 0.032643 , 0.019728 , 0.028848 , 0.032673 , 0.013224 , 0.014625 , 0.019557 , 0.014784 , 0.015816 , 0.018403 , 0.024877 , 0.025433 , 0.023619 , 0.023135 , 0.022265 , 0.03926 , 0.021066 , 0.028317 , 0.02476 , 0.017496 
 433 , 0.015465 , 0.019751 , 0.022349 , 0.023026 , 0.022396 , 0.033748 , 0.031738 , 0.026398 , 0.018008 , 0.026382 , 0.030164 , 0.040675 , 0.028713 , 0.033837 , 0.026115 , 0.03806 , 0.02452 , 0.032593 , 0.048887 , 0.023678 , 0.032026 , 0.032085 , 0.020602 , 0.0172 , 0.028015 , 0.030765 , 0.019442 , 0.02303 , 0.020136 , 0.019772 , 0.020526 , 0.026805 , 0.017801 , 0.017183 , 0.021389 , 0.017031 , 0.02039 , 0.022747 , 0.022548 , 0.04081 , 0.020026 , 0.019032 , 0.015507 , 0.014318 , 0.023619 , 0.02859 , 0.025087 , 0.026487 , 0.017703 , 0.020234 , 0.033888 , 0.023919 , 0.021033 , 0.020416 , 0.015973 , 0.033088 , 0.020014 , 0.029288 , 0.033151 , 0.013544 , 0.01494 , 0.019946 , 0.015072 , 0.016184 , 0.018812 , 0.025332 , 0.025916 , 0.024071 , 0.023589 , 0.022734 , 0.040031 , 0.021541 , 0.028908 , 0.025269 , 0.01786 
 434 , 0.015909 , 0.020362 , 0.02291 , 0.023631 , 0.023 , 0.034669 , 0.032479 , 0.027086 , 0.018462 , 0.027129 , 0.030981 , 0.041522 , 0.029413 , 0.034768 , 0.026667 , 0.038923 , 0.025008 , 0.033317 , 0.049918 , 0.024287 , 0.032872 , 0.033006 , 0.021182 , 0.017658 , 0.028804 , 0.031668 , 0.019921 , 0.023631 , 0.020647 , 0.020301 , 0.021053 , 0.027487 , 0.018254 , 0.01765 , 0.02196 , 0.017559 , 0.020958 , 0.023238 , 0.023009 , 0.041799 , 0.020617 , 0.019628 , 0.015991 , 0.014726 , 0.024261 , 0.029374 , 0.025747 , 0.027289 , 0.018215 , 0.020841 , 0.034742 , 0.024581 , 0.021631 , 0.020953 , 0.016454 , 0.033827 , 0.020439 , 0.029988 , 0.033935 , 0.013988 , 0.015421 , 0.020504 , 0.015478 , 0.016721 , 0.019347 , 0.025997 , 0.026606 , 0.02471 , 0.024257 , 0.023376 , 0.041104 , 0.022176 , 0.029737 , 0.025971 , 0.01838 
 435 , 0.016353 , 0.020965 , 0.023467 , 0.024234 , 0.023599 , 0.035586 , 0.033216 , 0.027771 , 0.018908 , 0.027873 , 0.031789 , 0.04237 , 0.03011 , 0.035692 , 0.027221 , 0.03978 , 0.025489 , 0.03404 , 0.050943 , 0.02489 , 0.033714 , 0.033925 , 0.021758 , 0.018115 , 0.029591 , 0.032569 , 0.020397 , 0.024229 , 0.021154 , 0.020833 , 0.021573 , 0.028168 , 0.018705 , 0.018115 , 0.022529 , 0.018084 , 0.021529 , 0.023723 , 0.023467 , 0.042785 , 0.021203 , 0.02022 , 0.016472 , 0.015137 , 0.024899 , 0.030159 , 0.026406 , 0.028088 , 0.018727 , 0.021445 , 0.035591 , 0.025243 , 0.022225 , 0.021489 , 0.016925 , 0.03456 , 0.020868 , 0.030683 , 0.034714 , 0.014432 , 0.015899 , 0.021057 , 0.015877 , 0.017256 , 0.019877 , 0.026665 , 0.027295 , 0.025344 , 0.024921 , 0.024018 , 0.042177 , 0.022811 , 0.030564 , 0.02667 , 0.018894 
 436 , 0.016798 , 0.021564 , 0.024021 , 0.024835 , 0.024192 , 0.036502 , 0.033954 , 0.028447 , 0.019354 , 0.028604 , 0.032593 , 0.043214 , 0.030801 , 0.03661 , 0.027773 , 0.040626 , 0.025976 , 0.034754 , 0.05196 , 0.025491 , 0.034547 , 0.034835 , 0.022332 , 0.018568 , 0.030365 , 0.033456 , 0.020877 , 0.024821 , 0.021663 , 0.021362 , 0.022094 , 0.028846 , 0.019156 , 0.018577 , 0.023096 , 0.018604 , 0.022085 , 0.024206 , 0.023918 , 0.043753 , 0.021784 , 0.020809 , 0.01695 , 0.015535 , 0.025531 , 0.030935 , 0.027058 , 0.028878 , 0.019237 , 0.02204 , 0.036434 , 0.025895 , 0.022813 , 0.022018 , 0.017395 , 0.03528 , 0.02129 , 0.031376 , 0.035482 , 0.01487 , 0.016366 , 0.021605 , 0.016272 , 0.017777 , 0.020405 , 0.027319 , 0.027975 , 0.025971 , 0.025576 , 0.024659 , 0.043236 , 0.023437 , 0.031394 , 0.027364 , 0.019403 
 437 , 0.017276 , 0.022098 , 0.02458 , 0.025418 , 0.024731 , 0.03746 , 0.034736 , 0.029086 , 0.01979 , 0.029264 , 0.033385 , 0.044063 , 0.031471 , 0.037502 , 0.028353 , 0.041449 , 0.026466 , 0.035414 , 0.052887 , 0.026008 , 0.03535 , 0.035734 , 0.02289 , 0.018971 , 0.031082 , 0.034269 , 0.021393 , 0.025372 , 0.022231 , 0.021919 , 0.022666 , 0.02953 , 0.019603 , 0.019035 , 0.02365 , 0.019117 , 0.022583 , 0.024667 , 0.024337 , 0.044585 , 0.022341 , 0.021379 , 0.017395 , 0.015894 , 0.026128 , 0.031677 , 0.027716 , 0.029649 , 0.019744 , 0.022556 , 0.037227 , 0.026489 , 0.023398 , 0.022524 , 0.017826 , 0.035926 , 0.0217 , 0.032025 , 0.036151 , 0.015262 , 0.016718 , 0.022107 , 0.016645 , 0.018243 , 0.020912 , 0.027872 , 0.028628 , 0.026549 , 0.026132 , 0.025317 , 0.044242 , 0.024076 , 0.032263 , 0.028055 , 0.01985 
 438 , 0.017759 , 0.022633 , 0.025143 , 0.025997 , 0.025274 , 0.038414 , 0.035513 , 0.029719 , 0.020222 , 0.02992 , 0.034174 , 0.044917 , 0.032145 , 0.038396 , 0.028936 , 0.042272 , 0.026958 , 0.036073 , 0.053808 , 0.026529 , 0.036147 , 0.036637 , 0.023445 , 0.019373 , 0.0318 , 0.035079 , 0.021906 , 0.025922 , 0.022792 , 0.022479 , 0.023235 , 0.030209 , 0.020054 , 0.019489 , 0.024205 , 0.019625 , 0.023077 , 0.025134 , 0.024756 , 0.045421 , 0.022895 , 0.021943 , 0.017838 , 0.016252 , 0.026729 , 0.03242 , 0.028371 , 0.030424 , 0.02025 , 0.023067 , 0.038018 , 0.027084 , 0.023986 , 0.02303 , 0.018258 , 0.036567 , 0.022111 , 0.032677 , 0.036814 , 0.01565 , 0.017068 , 0.022605 , 0.017017 , 0.018701 , 0.021421 , 0.028432 , 0.029276 , 0.02713 , 0.026687 , 0.025978 , 0.045244 , 0.024714 , 0.033134 , 0.028744 , 0.020301 
 439 , 0.018233 , 0.023169 , 0.025705 , 0.026579 , 0.025815 , 0.039373 , 0.036294 , 0.030356 , 0.020655 , 0.030575 , 0.034964 , 0.045767 , 0.032817 , 0.039287 , 0.029515 , 0.043092 , 0.027449 , 0.036727 , 0.054736 , 0.02705 , 0.036945 , 0.037534 , 0.024 , 0.019781 , 0.032518 , 0.035891 , 0.022423 , 0.026475 , 0.023359 , 0.02304 , 0.023805 , 0.030893 , 0.020503 , 0.019948 , 0.02476 , 0.020138 , 0.023568 , 0.025596 , 0.025173 , 0.046252 , 0.023449 , 0.022508 , 0.018285 , 0.016613 , 0.02733 , 0.033159 , 0.029026 , 0.031197 , 0.020755 , 0.023587 , 0.038812 , 0.027672 , 0.02457 , 0.023539 , 0.018689 , 0.037211 , 0.022522 , 0.033325 , 0.037482 , 0.016038 , 0.01742 , 0.023107 , 0.017392 , 0.019164 , 0.021929 , 0.028983 , 0.029929 , 0.027705 , 0.027245 , 0.026641 , 0.046252 , 0.025349 , 0.034005 , 0.029439 , 0.02075 
 440 , 0.018601 , 0.023604 , 0.026239 , 0.027054 , 0.026297 , 0.04014 , 0.036926 , 0.030909 , 0.021037 , 0.031189 , 0.035643 , 0.04648 , 0.033385 , 0.040063 , 0.029997 , 0.043768 , 0.02787 , 0.037303 , 0.055551 , 0.027537 , 0.037655 , 0.038359 , 0.024492 , 0.020183 , 0.033177 , 0.036608 , 0.02288 , 0.026987 , 0.023845 , 0.023546 , 0.024323 , 0.031503 , 0.020907 , 0.020347 , 0.025283 , 0.020608 , 0.024029 , 0.025997 , 0.025549 , 0.047025 , 0.023918 , 0.023016 , 0.018697 , 0.016941 , 0.02785 , 0.033824 , 0.029621 , 0.03187 , 0.021187 , 0.024072 , 0.039522 , 0.028207 , 0.02509 , 0.02401 , 0.019093 , 0.037775 , 0.02289 , 0.033886 , 0.038075 , 0.016386 , 0.01779 , 0.023566 , 0.017727 , 0.019575 , 0.022403 , 0.029597 , 0.030509 , 0.028217 , 0.027768 , 0.02718 , 0.047136 , 0.025886 , 0.03474 , 0.030065 , 0.021143 
 441 , 0.018924 , 0.023997 , 0.02676 , 0.027484 , 0.02675 , 0.040832 , 0.037501 , 0.031436 , 0.021394 , 0.031788 , 0.036274 , 0.047132 , 0.033916 , 0.040788 , 0.030443 , 0.044383 , 0.028257 , 0.037844 , 0.056328 , 0.028012 , 0.038328 , 0.039155 , 0.024955 , 0.020587 , 0.033808 , 0.037286 , 0.023312 , 0.027484 , 0.0243 , 0.024036 , 0.024813 , 0.032082 , 0.021297 , 0.020719 , 0.025797 , 0.021057 , 0.024476 , 0.026374 , 0.025904 , 0.047778 , 0.024354 , 0.023498 , 0.019096 , 0.017252 , 0.028335 , 0.034454 , 0.030199 , 0.032503 , 0.02159 , 0.024549 , 0.040201 , 0.028712 , 0.025576 , 0.024471 , 0.019487 , 0.038304 , 0.023243 , 0.034405 , 0.038641 , 0.016713 , 0.018161 , 0.024006 , 0.018054 , 0.019966 , 0.022867 , 0.030233 , 0.03106 , 0.028697 , 0.028281 , 0.02767 , 0.047974 , 0.026384 , 0.035423 , 0.030663 , 0.021512 
 442 , 0.01925 , 0.024391 , 0.027281 , 0.027916 , 0.027207 , 0.041529 , 0.038078 , 0.031961 , 0.021748 , 0.032387 , 0.036904 , 0.047785 , 0.034445 , 0.041519 , 0.03089 , 0.044994 , 0.028649 , 0.038386 , 0.057105 , 0.028486 , 0.039001 , 0.039952 , 0.025417 , 0.020995 , 0.034445 , 0.037969 , 0.023746 , 0.027985 , 0.024753 , 0.024525 , 0.025308 , 0.03266 , 0.021684 , 0.021094 , 0.026309 , 0.021511 , 0.024921 , 0.026751 , 0.02626 , 0.048529 , 0.024787 , 0.023974 , 0.019498 , 0.017569 , 0.028823 , 0.035084 , 0.030776 , 0.033131 , 0.021986 , 0.025025 , 0.040879 , 0.029219 , 0.026061 , 0.024931 , 0.01988 , 0.038832 , 0.023598 , 0.034925 , 0.039209 , 0.017044 , 0.018536 , 0.02445 , 0.018377 , 0.020355 , 0.02333 , 0.03087 , 0.031609 , 0.02918 , 0.028798 , 0.028163 , 0.048816 , 0.026879 , 0.036105 , 0.031267 , 0.021882 
 443 , 0.019568 , 0.024805 , 0.027773 , 0.028365 , 0.027662 , 0.042244 , 0.038639 , 0.032483 , 0.022109 , 0.032945 , 0.037539 , 0.04844 , 0.034978 , 0.042239 , 0.031323 , 0.045619 , 0.029028 , 0.03893 , 0.05785 , 0.028953 , 0.039663 , 0.040733 , 0.02588 , 0.021371 , 0.035069 , 0.038634 , 0.024168 , 0.028471 , 0.025197 , 0.024996 , 0.025784 , 0.033221 , 0.022054 , 0.021456 , 0.026794 , 0.021933 , 0.025348 , 0.027105 , 0.026608 , 0.049249 , 0.025212 , 0.024449 , 0.019879 , 0.017866 , 0.029294 , 0.035706 , 0.031328 , 0.033763 , 0.0224 , 0.025503 , 0.041536 , 0.029726 , 0.026558 , 0.025383 , 0.020251 , 0.039357 , 0.023926 , 0.03542 , 0.039759 , 0.017364 , 0.01888 , 0.024881 , 0.018679 , 0.020753 , 0.023771 , 0.031458 , 0.032151 , 0.029666 , 0.029294 , 0.028667 , 0.049671 , 0.027391 , 0.036806 , 0.03185 , 0.022254 
 444 , 0.019885 , 0.025246 , 0.0282 , 0.02886 , 0.028124 , 0.043004 , 0.039191 , 0.032988 , 0.022464 , 0.033429 , 0.038181 , 0.049101 , 0.035511 , 0.042943 , 0.031723 , 0.046258 , 0.029388 , 0.03948 , 0.058528 , 0.029398 , 0.040308 , 0.041481 , 0.026337 , 0.021702 , 0.035683 , 0.039277 , 0.024555 , 0.028926 , 0.025616 , 0.025444 , 0.02622 , 0.033739 , 0.022388 , 0.021804 , 0.027236 , 0.022306 , 0.025738 , 0.027429 , 0.026946 , 0.049913 , 0.025606 , 0.024901 , 0.020235 , 0.018139 , 0.029739 , 0.036313 , 0.031845 , 0.034389 , 0.022834 , 0.025977 , 0.042156 , 0.030221 , 0.027063 , 0.025814 , 0.02058 , 0.039876 , 0.024225 , 0.035876 , 0.040283 , 0.017672 , 0.019169 , 0.025286 , 0.018931 , 0.021154 , 0.02417 , 0.031952 , 0.032678 , 0.030155 , 0.029754 , 0.02918 , 0.050547 , 0.027921 , 0.037551 , 0.032409 , 0.022631 
 445 , 0.020204 , 0.02569 , 0.02863 , 0.029354 , 0.028584 , 0.043764 , 0.039741 , 0.033495 , 0.022816 , 0.033916 , 0.038822 , 0.049758 , 0.036046 , 0.043646 , 0.03213 , 0.0469 , 0.029749 , 0.040033 , 0.059211 , 0.029842 , 0.040952 , 0.04223 , 0.026793 , 0.022031 , 0.036292 , 0.039915 , 0.024941 , 0.029385 , 0.026034 , 0.02589 , 0.026655 , 0.03426 , 0.022719 , 0.022154 , 0.027681 , 0.022678 , 0.026131 , 0.027748 , 0.027286 , 0.050574 , 0.026003 , 0.025351 , 0.020589 , 0.018408 , 0.03018 , 0.036923 , 0.032361 , 0.035009 , 0.023273 , 0.026455 , 0.042769 , 0.030719 , 0.027568 , 0.026244 , 0.020907 , 0.040398 , 0.02452 , 0.036328 , 0.040803 , 0.017977 , 0.019455 , 0.02569 , 0.019183 , 0.021559 , 0.024571 , 0.032449 , 0.033208 , 0.030647 , 0.030216 , 0.029698 , 0.051426 , 0.028456 , 0.038294 , 0.032972 , 0.023011 
 446 , 0.02052 , 0.026138 , 0.029058 , 0.029846 , 0.029042 , 0.044526 , 0.040293 , 0.033996 , 0.023171 , 0.034401 , 0.039463 , 0.050418 , 0.036579 , 0.044355 , 0.032533 , 0.047545 , 0.030111 , 0.040584 , 0.05989 , 0.030287 , 0.04159 , 0.04298 , 0.027253 , 0.022361 , 0.036906 , 0.040558 , 0.025328 , 0.029841 , 0.026449 , 0.026335 , 0.027092 , 0.034779 , 0.023051 , 0.022502 , 0.028119 , 0.023051 , 0.026522 , 0.028067 , 0.027626 , 0.051238 , 0.026397 , 0.025801 , 0.02094 , 0.018679 , 0.030625 , 0.037534 , 0.032876 , 0.035635 , 0.023705 , 0.026926 , 0.043385 , 0.031216 , 0.028072 , 0.026672 , 0.021236 , 0.040916 , 0.024815 , 0.036787 , 0.041325 , 0.018284 , 0.019737 , 0.026096 , 0.019436 , 0.021962 , 0.024976 , 0.032943 , 0.033737 , 0.031138 , 0.030682 , 0.030215 , 0.052306 , 0.028985 , 0.039038 , 0.033529 , 0.023389 
 447 , 0.020706 , 0.026379 , 0.029412 , 0.030169 , 0.029266 , 0.044981 , 0.04067 , 0.034308 , 0.023347 , 0.034824 , 0.039835 , 0.05077 , 0.036907 , 0.044893 , 0.032804 , 0.047852 , 0.030299 , 0.040895 , 0.060285 , 0.030534 , 0.042059 , 0.043468 , 0.027528 , 0.022579 , 0.037298 , 0.04103 , 0.025596 , 0.030127 , 0.026745 , 0.026661 , 0.027402 , 0.035132 , 0.023279 , 0.022705 , 0.028446 , 0.023315 , 0.026807 , 0.028274 , 0.027721 , 0.051652 , 0.026687 , 0.026066 , 0.021207 , 0.018879 , 0.03091 , 0.03793 , 0.033222 , 0.036035 , 0.023983 , 0.027209 , 0.043791 , 0.031484 , 0.028321 , 0.026932 , 0.021473 , 0.041229 , 0.024949 , 0.037069 , 0.041631 , 0.018529 , 0.019938 , 0.026384 , 0.019599 , 0.022198 , 0.025283 , 0.033305 , 0.034068 , 0.031473 , 0.030983 , 0.030518 , 0.052811 , 0.029323 , 0.039517 , 0.033932 , 0.023639 
 448 , 0.020885 , 0.026615 , 0.029769 , 0.030482 , 0.029475 , 0.045427 , 0.041045 , 0.034612 , 0.023519 , 0.035252 , 0.040195 , 0.05111 , 0.037225 , 0.045432 , 0.03308 , 0.04815 , 0.030482 , 0.041197 , 0.060671 , 0.030781 , 0.04252 , 0.043958 , 0.027801 , 0.022795 , 0.037692 , 0.041502 , 0.025859 , 0.030404 , 0.027035 , 0.026993 , 0.027701 , 0.035488 , 0.023498 , 0.02291 , 0.028766 , 0.023571 , 0.027087 , 0.028472 , 0.027811 , 0.052065 , 0.026977 , 0.026332 , 0.021467 , 0.019069 , 0.031191 , 0.038322 , 0.033568 , 0.036428 , 0.024259 , 0.027486 , 0.044188 , 0.031742 , 0.028562 , 0.027192 , 0.021703 , 0.041539 , 0.025083 , 0.037351 , 0.041932 , 0.01877 , 0.020134 , 0.026662 , 0.019757 , 0.022433 , 0.025586 , 0.033667 , 0.034402 , 0.031805 , 0.03128 , 0.030823 , 0.053308 , 0.029653 , 0.039991 , 0.034334 , 0.023891 
 449 , 0.02107 , 0.026852 , 0.030122 , 0.030803 , 0.02969 , 0.045874 , 0.041417 , 0.034918 , 0.023697 , 0.035677 , 0.040557 , 0.051456 , 0.037545 , 0.045969 , 0.033351 , 0.048454 , 0.030666 , 0.041501 , 0.061062 , 0.031024 , 0.042978 , 0.04444 , 0.028075 , 0.023006 , 0.038083 , 0.041976 , 0.026124 , 0.030681 , 0.027326 , 0.027321 , 0.028007 , 0.035841 , 0.023723 , 0.023111 , 0.029083 , 0.023834 , 0.027363 , 0.028672 , 0.027901 , 0.052479 , 0.027263 , 0.026593 , 0.021729 , 0.019266 , 0.031473 , 0.03871 , 0.03391 , 0.036817 , 0.02453 , 0.027764 , 0.044587 , 0.032006 , 0.028803 , 0.027448 , 0.02193 , 0.041844 , 0.025211 , 0.037634 , 0.042234 , 0.019012 , 0.020331 , 0.026946 , 0.019909 , 0.022663 , 0.025897 , 0.034026 , 0.034733 , 0.032137 , 0.031578 , 0.03113 , 0.053803 , 0.029985 , 0.040467 , 0.034738 , 0.02414 
 450 , 0.021196 , 0.027047 , 0.030332 , 0.030988 , 0.029882 , 0.046227 , 0.041636 , 0.035135 , 0.023825 , 0.035944 , 0.040832 , 0.051655 , 0.037727 , 0.046365 , 0.033521 , 0.04864 , 0.030755 , 0.041705 , 0.061272 , 0.031215 , 0.043292 , 0.044815 , 0.028295 , 0.02318 , 0.038377 , 0.042302 , 0.026301 , 0.030892 , 0.027512 , 0.027549 , 0.028226 , 0.036076 , 0.023873 , 0.023275 , 0.029327 , 0.02401 , 0.027555 , 0.028792 , 0.027978 , 0.052713 , 0.027459 , 0.026777 , 0.0219 , 0.019387 , 0.031638 , 0.038996 , 0.034177 , 0.037124 , 0.024756 , 0.027962 , 0.044857 , 0.032215 , 0.029004 , 0.027629 , 0.022095 , 0.04199 , 0.025306 , 0.037817 , 0.042392 , 0.019175 , 0.020466 , 0.027131 , 0.020027 , 0.02282 , 0.026079 , 0.034278 , 0.034976 , 0.032363 , 0.031797 , 0.031358 , 0.054189 , 0.030236 , 0.040816 , 0.035034 , 0.024328 
 451 , 0.021295 , 0.027208 , 0.030456 , 0.031101 , 0.030059 , 0.046519 , 0.041764 , 0.035295 , 0.023929 , 0.03612 , 0.04105 , 0.051771 , 0.037829 , 0.046667 , 0.033629 , 0.048762 , 0.030794 , 0.041843 , 0.061376 , 0.031371 , 0.04352 , 0.045117 , 0.028488 , 0.023326 , 0.038617 , 0.042547 , 0.026425 , 0.031053 , 0.027636 , 0.027721 , 0.028398 , 0.036231 , 0.023987 , 0.023421 , 0.029525 , 0.024145 , 0.027695 , 0.028863 , 0.028044 , 0.05284 , 0.027599 , 0.026917 , 0.022009 , 0.01947 , 0.031741 , 0.039225 , 0.034396 , 0.037374 , 0.024949 , 0.028107 , 0.045054 , 0.032386 , 0.029181 , 0.027758 , 0.022215 , 0.042039 , 0.025373 , 0.037945 , 0.042462 , 0.0193 , 0.020575 , 0.027256 , 0.02012 , 0.022929 , 0.026198 , 0.034454 , 0.035168 , 0.032518 , 0.031968 , 0.03154 , 0.054511 , 0.030434 , 0.041092 , 0.035263 , 0.024479 
 452 , 0.021398 , 0.027374 , 0.030585 , 0.031209 , 0.030241 , 0.04681 , 0.041892 , 0.035461 , 0.024037 , 0.036291 , 0.041273 , 0.051882 , 0.037931 , 0.046974 , 0.033737 , 0.048884 , 0.030828 , 0.041982 , 0.061481 , 0.031526 , 0.043743 , 0.04542 , 0.028686 , 0.023477 , 0.038856 , 0.042791 , 0.026555 , 0.031219 , 0.027761 , 0.027898 , 0.02857 , 0.036392 , 0.024101 , 0.023567 , 0.029723 , 0.024275 , 0.027835 , 0.028929 , 0.02811 , 0.052967 , 0.027745 , 0.027057 , 0.022117 , 0.019547 , 0.031843 , 0.039449 , 0.034615 , 0.037629 , 0.025143 , 0.028252 , 0.04525 , 0.032563 , 0.029352 , 0.027893 , 0.02234 , 0.042088 , 0.025439 , 0.038074 , 0.042532 , 0.01942 , 0.020679 , 0.02738 , 0.020213 , 0.023038 , 0.026311 , 0.034636 , 0.03536 , 0.032679 , 0.03214 , 0.031722 , 0.054828 , 0.030638 , 0.041363 , 0.035498 , 0.02463 
 453 , 0.021473 , 0.027499 , 0.030676 , 0.031294 , 0.030374 , 0.047042 , 0.041999 , 0.035581 , 0.024094 , 0.036411 , 0.041433 , 0.051932 , 0.037992 , 0.047211 , 0.033805 , 0.04895 , 0.03084 , 0.042068 , 0.061521 , 0.031643 , 0.043912 , 0.045662 , 0.028815 , 0.023598 , 0.039039 , 0.042987 , 0.026642 , 0.031342 , 0.027864 , 0.028022 , 0.028693 , 0.036517 , 0.024184 , 0.023682 , 0.029867 , 0.024369 , 0.027927 , 0.028958 , 0.028123 , 0.053031 , 0.027837 , 0.027155 , 0.022202 , 0.019606 , 0.031918 , 0.03962 , 0.034794 , 0.037812 , 0.025279 , 0.028376 , 0.045393 , 0.032685 , 0.029481 , 0.02799 , 0.022424 , 0.042094 , 0.025469 , 0.03814 , 0.042554 , 0.019511 , 0.020759 , 0.027462 , 0.020267 , 0.023132 , 0.026394 , 0.034762 , 0.035513 , 0.032801 , 0.032262 , 0.03186 , 0.055087 , 0.030797 , 0.041581 , 0.035677 , 0.024745 
 454 , 0.02149 , 0.027528 , 0.030671 , 0.031308 , 0.030387 , 0.047086 , 0.042043 , 0.035572 , 0.024027 , 0.036373 , 0.041448 , 0.051787 , 0.037931 , 0.047244 , 0.033761 , 0.04886 , 0.030771 , 0.04199 , 0.061358 , 0.031635 , 0.043917 , 0.045723 , 0.028755 , 0.023633 , 0.039068 , 0.043059 , 0.026623 , 0.031345 , 0.027892 , 0.028002 , 0.028692 , 0.036546 , 0.024206 , 0.023696 , 0.02985 , 0.02437 , 0.027902 , 0.028876 , 0.028002 , 0.052935 , 0.027802 , 0.027144 , 0.022211 , 0.019595 , 0.031908 , 0.039626 , 0.034851 , 0.037794 , 0.025243 , 0.028434 , 0.045365 , 0.032651 , 0.029471 , 0.027992 , 0.022411 , 0.041974 , 0.02538 , 0.038047 , 0.042443 , 0.0195 , 0.020763 , 0.027434 , 0.020211 , 0.023174 , 0.026381 , 0.034735 , 0.035578 , 0.032814 , 0.032245 , 0.031861 , 0.055167 , 0.030855 , 0.041637 , 0.035715 , 0.024743 
