NANT_00009_NANT_REF.spu,NANT_00008_NANT_REF.spu,NANT_00007_NANT_REF.spu,NANT_00006_NANT_REF.spu,NANT_00005_NANT_REF.spu,
Wavelength,NANT_00010_B3_CT.spu,NANT_00011_B3_CT.spu,NANT_00012_B3_CT.spu,NANT_00013_B3_CT.spu,NANT_00014_B3_CT.spu,NANT_00015_B3_CT-old.spu,NANT_00016_B3_CT-old.spu,NANT_00017_B3_CT-old.spu,NANT_00018_B3_CT-old.spu,NANT_00019_B3_CT-old.spu,NANT_00020_B3_N.spu,NANT_00021_B3_N.spu,NANT_00022_B3_N.spu,NANT_00023_B3_N.spu,NANT_00024_B3_N.spu,NANT_00025_B3_N-old.spu,NANT_00026_B3_N-old.spu,NANT_00027_B3_N-old.spu,NANT_00028_B3_N-old.spu,NANT_00029_B3_N-old.spu,NANT_00030_B3_NP.spu,NANT_00031_B3_NP.spu,NANT_00032_B3_NP.spu,NANT_00033_B3_NP.spu,NANT_00034_B3_NP.spu,NANT_00035_B3_NP-old.spu,NANT_00036_B3_NP-old.spu,NANT_00037_B3_NP-old.spu,NANT_00038_B3_NP-old.spu,NANT_00039_B3_NP-old.spu,NANT_00040_B3_P.spu,NANT_00041_B3_P.spu,NANT_00042_B3_P.spu,NANT_00043_B3_P.spu,NANT_00044_B3_P.spu,NANT_00045_B3_P-old.spu,NANT_00046_B3_P-old.spu,NANT_00047_B3_P-old.spu,NANT_00048_B3_P-old.spu,NANT_00049_B3_P-old.spu,NANT_00050_B2_P.spu,NANT_00051_B2_P.spu,NANT_00052_B2_P.spu,NANT_00053_B2_P.spu,NANT_00054_B2_P.spu,NANT_00055_B2_NP.spu,NANT_00056_B2_NP.spu,NANT_00057_B2_NP.spu,NANT_00058_B2_NP.spu,NANT_00059_B2_NP.spu,NANT_00060_B2_CT.spu,NANT_00061_B2_CT.spu,NANT_00062_B2_CT.spu,NANT_00063_B2_CT.spu,NANT_00064_B2_CT.spu,NANT_00065_B2_N.spu,NANT_00066_B2_N.spu,NANT_00067_B2_N.spu,NANT_00068_B2_N.spu,NANT_00069_B2_N.spu,NANT_00070_B1_P.spu,NANT_00071_B1_P.spu,NANT_00072_B1_P.spu,NANT_00073_B1_P.spu,NANT_00074_B1_P.spu,NANT_00075_B1_CT.spu,NANT_00076_B1_CT.spu,NANT_00077_B1_CT.spu,NANT_00078_B1_CT.spu,NANT_00079_B1_CT.spu,NANT_00080_B1_NP.spu,NANT_00081_B1_NP.spu,NANT_00082_B1_NP.spu,NANT_00083_B1_NP.spu,NANT_00084_B1_NP.spu,NANT_00085_B1_N.spu,NANT_00086_B1_N.spu,NANT_00087_B1_N.spu,NANT_00088_B1_N.spu,NANT_00089_B1_N.spu
 412 , 0.073949 , 0.073856 , 0.061614 , 0.074761 , 0.066337 , 0.076177 , 0.066998 , 0.079576 , 0.079646 , 0.072614 , 0.087548 , 0.082651 , 0.100022 , 0.097005 , 0.08127 , 0.068263 , 0.063784 , 0.093442 , 0.094591 , 0.083359 , 0.084195 , 0.086852 , 0.082814 , 0.082547 , 0.065409 , 0.075387 , 0.086921 , 0.09907 , 0.074192 , 0.065954 , 0.060338 , 0.071106 , 0.046634 , 0.065327 , 0.053921 , 0.075097 , 0.072046 , 0.071895 , 0.079518 , 0.070793 , 0.079077 , 0.056416 , 0.066592 , 0.066685 , 0.049837 , 0.092212 , 0.066267 , 0.082083 , 0.087467 , 0.081421 , 0.057634 , 0.066882 , 0.045834 , 0.060814 , 0.050069 , 0.086434 , 0.068251 , 0.067648 , 0.073078 , 0.070827 , 0.060315 , 0.057878 , 0.090414 , 0.061719 , 0.055406 , 0.088766 , 0.092062 , 0.077929 , 0.08467 , 0.076443 , 0.073102 , 0.089973 , 0.079333 , 0.094011 , 0.082059 , 0.088082 , 0.07432 , 0.076699 , 0.059734 , 0.069853 
 413 , 0.074453 , 0.07422 , 0.061862 , 0.075163 , 0.066684 , 0.07641 , 0.067231 , 0.079799 , 0.079916 , 0.072869 , 0.088104 , 0.083177 , 0.100625 , 0.097539 , 0.081605 , 0.068769 , 0.064086 , 0.094173 , 0.094906 , 0.083818 , 0.084645 , 0.087417 , 0.083328 , 0.083096 , 0.066043 , 0.07606 , 0.087836 , 0.100195 , 0.074895 , 0.066695 , 0.060673 , 0.071366 , 0.046941 , 0.065717 , 0.054197 , 0.075338 , 0.072578 , 0.07217 , 0.079962 , 0.07111 , 0.07945 , 0.056702 , 0.066905 , 0.066952 , 0.050039 , 0.093124 , 0.066777 , 0.082851 , 0.088419 , 0.08214 , 0.057901 , 0.067161 , 0.045939 , 0.06107 , 0.050319 , 0.08666 , 0.068547 , 0.06807 , 0.073637 , 0.071413 , 0.060557 , 0.058134 , 0.090958 , 0.061955 , 0.055723 , 0.089083 , 0.092309 , 0.078192 , 0.085029 , 0.076713 , 0.074336 , 0.090853 , 0.080079 , 0.094837 , 0.082816 , 0.089106 , 0.074663 , 0.077027 , 0.060149 , 0.070423 
 414 , 0.074951 , 0.074565 , 0.062081 , 0.075594 , 0.067002 , 0.076611 , 0.067435 , 0.080001 , 0.080164 , 0.073127 , 0.088662 , 0.083671 , 0.101193 , 0.098095 , 0.081906 , 0.069247 , 0.064396 , 0.094916 , 0.095196 , 0.084279 , 0.085039 , 0.087949 , 0.083811 , 0.083636 , 0.066652 , 0.076728 , 0.088767 , 0.101287 , 0.075559 , 0.067458 , 0.061006 , 0.071596 , 0.047248 , 0.06609 , 0.054425 , 0.075547 , 0.073104 , 0.072403 , 0.080375 , 0.071397 , 0.079814 , 0.056985 , 0.067189 , 0.067201 , 0.050217 , 0.094074 , 0.067213 , 0.083601 , 0.089375 , 0.082864 , 0.058177 , 0.067446 , 0.046009 , 0.061345 , 0.050556 , 0.086897 , 0.068826 , 0.068498 , 0.074168 , 0.071993 , 0.060772 , 0.058399 , 0.091514 , 0.062175 , 0.056049 , 0.089422 , 0.09259 , 0.078458 , 0.085424 , 0.076973 , 0.075605 , 0.091725 , 0.080807 , 0.095652 , 0.083566 , 0.090158 , 0.074986 , 0.077347 , 0.06055 , 0.071012 
 415 , 0.075425 , 0.074897 , 0.062301 , 0.076 , 0.067297 , 0.076797 , 0.067626 , 0.080198 , 0.080398 , 0.073372 , 0.089194 , 0.084151 , 0.101743 , 0.098635 , 0.082204 , 0.069701 , 0.06467 , 0.095621 , 0.095469 , 0.084702 , 0.085406 , 0.088455 , 0.08428 , 0.084151 , 0.067227 , 0.07736 , 0.089651 , 0.10233 , 0.076199 , 0.068177 , 0.061327 , 0.071813 , 0.047523 , 0.066453 , 0.054642 , 0.075742 , 0.073607 , 0.072634 , 0.080773 , 0.07166 , 0.080163 , 0.057269 , 0.067461 , 0.067426 , 0.050385 , 0.094964 , 0.067637 , 0.084315 , 0.090296 , 0.083541 , 0.058431 , 0.067708 , 0.046081 , 0.061597 , 0.050784 , 0.087118 , 0.069092 , 0.068916 , 0.074686 , 0.07254 , 0.060976 , 0.058642 , 0.092044 , 0.062395 , 0.056355 , 0.089745 , 0.092865 , 0.078709 , 0.085781 , 0.077219 , 0.076809 , 0.092548 , 0.0815 , 0.096419 , 0.08428 , 0.091153 , 0.075284 , 0.077653 , 0.060929 , 0.071566 
 416 , 0.075926 , 0.075255 , 0.062544 , 0.076408 , 0.067605 , 0.07702 , 0.06784 , 0.080422 , 0.080669 , 0.073631 , 0.089743 , 0.084647 , 0.102313 , 0.099183 , 0.08254 , 0.070171 , 0.064968 , 0.096334 , 0.09577 , 0.085153 , 0.085836 , 0.088978 , 0.084777 , 0.084706 , 0.067817 , 0.077986 , 0.090556 , 0.10342 , 0.076879 , 0.068899 , 0.061661 , 0.072065 , 0.047808 , 0.066804 , 0.054929 , 0.075973 , 0.074137 , 0.072889 , 0.081199 , 0.07196 , 0.08054 , 0.057554 , 0.067781 , 0.067675 , 0.050574 , 0.095864 , 0.068099 , 0.085059 , 0.091203 , 0.084247 , 0.058683 , 0.067993 , 0.046196 , 0.061885 , 0.051045 , 0.087354 , 0.069358 , 0.069335 , 0.07522 , 0.073089 , 0.061226 , 0.058907 , 0.092603 , 0.062626 , 0.056683 , 0.090085 , 0.093145 , 0.078974 , 0.086154 , 0.077503 , 0.078033 , 0.093416 , 0.082211 , 0.097241 , 0.085024 , 0.092144 , 0.075632 , 0.077986 , 0.061355 , 0.072136 
 417 , 0.076538 , 0.075711 , 0.06293 , 0.076868 , 0.067981 , 0.07734 , 0.068123 , 0.080739 , 0.08107 , 0.073882 , 0.090405 , 0.085271 , 0.102975 , 0.099776 , 0.083017 , 0.070731 , 0.065302 , 0.097121 , 0.096153 , 0.085673 , 0.086416 , 0.089638 , 0.085366 , 0.085377 , 0.068512 , 0.078674 , 0.09155 , 0.104757 , 0.07773 , 0.06968 , 0.062044 , 0.07243 , 0.048106 , 0.06719 , 0.055353 , 0.076337 , 0.074779 , 0.073257 , 0.081719 , 0.072324 , 0.081011 , 0.057902 , 0.068217 , 0.068005 , 0.050844 , 0.096849 , 0.068748 , 0.085932 , 0.092199 , 0.085059 , 0.058964 , 0.068382 , 0.046406 , 0.062269 , 0.051375 , 0.087632 , 0.069645 , 0.069822 , 0.075888 , 0.073681 , 0.061608 , 0.059212 , 0.093261 , 0.062941 , 0.057087 , 0.090488 , 0.093474 , 0.079299 , 0.086558 , 0.077895 , 0.079394 , 0.094453 , 0.083064 , 0.098242 , 0.085885 , 0.093214 , 0.076113 , 0.078438 , 0.061903 , 0.072808 
 418 , 0.077119 , 0.076148 , 0.063297 , 0.077308 , 0.068338 , 0.077651 , 0.068398 , 0.081047 , 0.08145 , 0.074137 , 0.091035 , 0.085852 , 0.103626 , 0.100348 , 0.083473 , 0.071261 , 0.065617 , 0.097887 , 0.096502 , 0.086171 , 0.086976 , 0.090254 , 0.085947 , 0.086029 , 0.069179 , 0.079332 , 0.092502 , 0.10604 , 0.078551 , 0.070445 , 0.06241 , 0.072776 , 0.048387 , 0.067557 , 0.055771 , 0.076681 , 0.075391 , 0.073604 , 0.082219 , 0.072693 , 0.081474 , 0.058244 , 0.068646 , 0.068315 , 0.051109 , 0.09778 , 0.069356 , 0.086775 , 0.093153 , 0.08584 , 0.059227 , 0.068753 , 0.0466 , 0.062635 , 0.0517 , 0.087911 , 0.069912 , 0.070291 , 0.076527 , 0.074267 , 0.061972 , 0.059499 , 0.093899 , 0.06325 , 0.057475 , 0.090869 , 0.093792 , 0.079616 , 0.086952 , 0.078267 , 0.080716 , 0.095449 , 0.083876 , 0.0992 , 0.086704 , 0.09423 , 0.076563 , 0.078858 , 0.062433 , 0.073439 
 419 , 0.077682 , 0.076579 , 0.063648 , 0.077718 , 0.068678 , 0.077955 , 0.068666 , 0.081336 , 0.081823 , 0.074372 , 0.091646 , 0.086426 , 0.104233 , 0.100899 , 0.083911 , 0.071762 , 0.065926 , 0.098621 , 0.096854 , 0.086651 , 0.087505 , 0.090851 , 0.086497 , 0.086651 , 0.069817 , 0.07996 , 0.093413 , 0.10727 , 0.079331 , 0.071169 , 0.06277 , 0.073115 , 0.048652 , 0.067919 , 0.056174 , 0.077018 , 0.075986 , 0.073933 , 0.082689 , 0.073032 , 0.081906 , 0.05857 , 0.069058 , 0.068607 , 0.051357 , 0.098681 , 0.069947 , 0.087577 , 0.094078 , 0.086592 , 0.059472 , 0.069105 , 0.04679 , 0.062983 , 0.051998 , 0.08817 , 0.070185 , 0.070742 , 0.077148 , 0.074823 , 0.062319 , 0.05978 , 0.094517 , 0.063541 , 0.057847 , 0.091242 , 0.09409 , 0.079925 , 0.087327 , 0.078631 , 0.081977 , 0.096403 , 0.084658 , 0.100116 , 0.087493 , 0.095217 , 0.076994 , 0.079272 , 0.062948 , 0.074052 
 420 , 0.078254 , 0.076981 , 0.063957 , 0.078135 , 0.069072 , 0.078195 , 0.068929 , 0.081573 , 0.082096 , 0.074614 , 0.092254 , 0.086973 , 0.104969 , 0.10146 , 0.084297 , 0.072212 , 0.066253 , 0.099367 , 0.09719 , 0.087139 , 0.088043 , 0.091445 , 0.087032 , 0.087342 , 0.070535 , 0.080657 , 0.094371 , 0.108526 , 0.080086 , 0.071986 , 0.063148 , 0.073461 , 0.048946 , 0.068346 , 0.056523 , 0.077314 , 0.076541 , 0.074222 , 0.083167 , 0.073342 , 0.08231 , 0.058902 , 0.069381 , 0.068857 , 0.051622 , 0.099629 , 0.070582 , 0.08846 , 0.095061 , 0.087401 , 0.059758 , 0.069464 , 0.046983 , 0.063255 , 0.052324 , 0.0884 , 0.070487 , 0.071272 , 0.077731 , 0.075411 , 0.062613 , 0.060067 , 0.095085 , 0.06385 , 0.058188 , 0.091564 , 0.094383 , 0.080181 , 0.08771 , 0.078944 , 0.083345 , 0.097369 , 0.085534 , 0.101127 , 0.088329 , 0.096239 , 0.077362 , 0.079658 , 0.063434 , 0.074733 
 421 , 0.078825 , 0.077371 , 0.064235 , 0.078527 , 0.069468 , 0.078419 , 0.069182 , 0.081805 , 0.082353 , 0.074867 , 0.09283 , 0.087514 , 0.105692 , 0.10202 , 0.084677 , 0.072638 , 0.066559 , 0.100101 , 0.097515 , 0.087621 , 0.088563 , 0.092032 , 0.08755 , 0.088027 , 0.071232 , 0.081364 , 0.095298 , 0.109744 , 0.080827 , 0.072805 , 0.063508 , 0.073795 , 0.049228 , 0.068776 , 0.056857 , 0.077609 , 0.077084 , 0.074486 , 0.08364 , 0.073628 , 0.082699 , 0.059229 , 0.069682 , 0.069098 , 0.051886 , 0.100566 , 0.071208 , 0.089314 , 0.096013 , 0.088194 , 0.060039 , 0.069802 , 0.047178 , 0.063508 , 0.052649 , 0.088623 , 0.070803 , 0.071792 , 0.078288 , 0.075988 , 0.062912 , 0.060337 , 0.095631 , 0.064152 , 0.058514 , 0.091853 , 0.094678 , 0.080422 , 0.088086 , 0.079254 , 0.084689 , 0.098313 , 0.086394 , 0.102116 , 0.089159 , 0.097253 , 0.077716 , 0.080029 , 0.063901 , 0.075404 
 422 , 0.07938 , 0.077756 , 0.064522 , 0.078902 , 0.069849 , 0.078628 , 0.069431 , 0.082032 , 0.082605 , 0.075104 , 0.093402 , 0.088039 , 0.106397 , 0.102563 , 0.085042 , 0.073062 , 0.066875 , 0.10082 , 0.097846 , 0.088099 , 0.089067 , 0.092602 , 0.088063 , 0.088684 , 0.071915 , 0.082032 , 0.096209 , 0.110936 , 0.081542 , 0.073587 , 0.063865 , 0.074113 , 0.049508 , 0.069192 , 0.057188 , 0.077899 , 0.0776 , 0.074758 , 0.084098 , 0.073922 , 0.083071 , 0.059553 , 0.06998 , 0.069335 , 0.052136 , 0.101465 , 0.071808 , 0.090142 , 0.09695 , 0.088959 , 0.060317 , 0.070135 , 0.04737 , 0.063757 , 0.05296 , 0.088828 , 0.071091 , 0.072297 , 0.078831 , 0.076549 , 0.063196 , 0.060592 , 0.096161 , 0.064438 , 0.058824 , 0.092148 , 0.094955 , 0.080646 , 0.088458 , 0.079547 , 0.085997 , 0.099231 , 0.087227 , 0.103065 , 0.089962 , 0.09824 , 0.078066 , 0.080383 , 0.064354 , 0.07606 
 423 , 0.079989 , 0.078204 , 0.064832 , 0.079342 , 0.070284 , 0.078935 , 0.069721 , 0.082337 , 0.082961 , 0.075376 , 0.093972 , 0.088604 , 0.107067 , 0.103137 , 0.085477 , 0.073591 , 0.067253 , 0.101604 , 0.098225 , 0.088616 , 0.089622 , 0.093253 , 0.088652 , 0.089371 , 0.072608 , 0.082733 , 0.097147 , 0.112136 , 0.082302 , 0.074358 , 0.064269 , 0.074454 , 0.049831 , 0.069637 , 0.057619 , 0.07824 , 0.078192 , 0.075113 , 0.084602 , 0.074262 , 0.083524 , 0.059908 , 0.070356 , 0.069673 , 0.052407 , 0.102407 , 0.072429 , 0.091 , 0.097902 , 0.089742 , 0.060615 , 0.070596 , 0.047567 , 0.064078 , 0.053282 , 0.089107 , 0.071422 , 0.072824 , 0.079426 , 0.077125 , 0.06355 , 0.06089 , 0.096775 , 0.064784 , 0.059225 , 0.092534 , 0.09529 , 0.080984 , 0.088855 , 0.079929 , 0.087298 , 0.100166 , 0.088065 , 0.103988 , 0.090784 , 0.099291 , 0.078491 , 0.080792 , 0.064856 , 0.076718 
 424 , 0.080653 , 0.078706 , 0.065192 , 0.079812 , 0.07079 , 0.079307 , 0.070057 , 0.082707 , 0.083391 , 0.075691 , 0.094563 , 0.089205 , 0.107717 , 0.103753 , 0.085974 , 0.074226 , 0.067679 , 0.102455 , 0.098647 , 0.089181 , 0.090227 , 0.093974 , 0.089326 , 0.09007 , 0.073313 , 0.083439 , 0.098107 , 0.113351 , 0.083091 , 0.075115 , 0.064712 , 0.074802 , 0.050189 , 0.070093 , 0.058117 , 0.078646 , 0.078839 , 0.075547 , 0.085157 , 0.074634 , 0.08404 , 0.060291 , 0.070802 , 0.070105 , 0.052687 , 0.10338 , 0.073061 , 0.091884 , 0.098864 , 0.090539 , 0.060952 , 0.071139 , 0.047762 , 0.064472 , 0.053624 , 0.089422 , 0.071763 , 0.073385 , 0.080064 , 0.077709 , 0.063979 , 0.061228 , 0.097446 , 0.065168 , 0.059679 , 0.092989 , 0.095668 , 0.081397 , 0.089302 , 0.080376 , 0.088605 , 0.101134 , 0.088905 , 0.104894 , 0.091644 , 0.100425 , 0.078983 , 0.081253 , 0.065397 , 0.077385 
 425 , 0.081303 , 0.079208 , 0.065539 , 0.08028 , 0.071284 , 0.079666 , 0.070392 , 0.083062 , 0.08382 , 0.076004 , 0.095141 , 0.089794 , 0.108364 , 0.104354 , 0.086458 , 0.074848 , 0.068116 , 0.103306 , 0.099079 , 0.089734 , 0.090818 , 0.094683 , 0.089987 , 0.090745 , 0.074005 , 0.084134 , 0.099067 , 0.114555 , 0.083881 , 0.075872 , 0.065154 , 0.075149 , 0.050545 , 0.070549 , 0.058614 , 0.079039 , 0.079473 , 0.075968 , 0.085699 , 0.075017 , 0.084555 , 0.060661 , 0.071235 , 0.070525 , 0.052966 , 0.10433 , 0.07368 , 0.092769 , 0.099826 , 0.091323 , 0.061288 , 0.071681 , 0.047968 , 0.064852 , 0.053953 , 0.089746 , 0.072115 , 0.073933 , 0.080689 , 0.078281 , 0.064407 , 0.061565 , 0.098104 , 0.065539 , 0.060132 , 0.093455 , 0.096032 , 0.081809 , 0.089722 , 0.080822 , 0.089902 , 0.10209 , 0.089746 , 0.105787 , 0.092504 , 0.101548 , 0.079473 , 0.081713 , 0.065924 , 0.078052 
 426 , 0.081939 , 0.07968 , 0.065877 , 0.080743 , 0.071746 , 0.080006 , 0.070708 , 0.083412 , 0.084233 , 0.076287 , 0.09573 , 0.090344 , 0.109002 , 0.104932 , 0.086914 , 0.075429 , 0.06851 , 0.104111 , 0.099474 , 0.090259 , 0.09137 , 0.095368 , 0.090622 , 0.091419 , 0.074681 , 0.084813 , 0.100005 , 0.115741 , 0.084644 , 0.076601 , 0.065575 , 0.07549 , 0.05089 , 0.070985 , 0.059078 , 0.079403 , 0.080091 , 0.076371 , 0.086238 , 0.075369 , 0.08503 , 0.061022 , 0.07165 , 0.070913 , 0.053233 , 0.10527 , 0.074282 , 0.093617 , 0.100754 , 0.092095 , 0.061626 , 0.072217 , 0.048161 , 0.065237 , 0.054296 , 0.090042 , 0.072435 , 0.074463 , 0.081299 , 0.078847 , 0.064802 , 0.06188 , 0.098737 , 0.065889 , 0.060563 , 0.093894 , 0.096382 , 0.082192 , 0.090139 , 0.08125 , 0.091189 , 0.103024 , 0.090573 , 0.106683 , 0.093327 , 0.102638 , 0.079946 , 0.082144 , 0.066433 , 0.078702 
 427 , 0.082509 , 0.080088 , 0.06613 , 0.081189 , 0.07211 , 0.080233 , 0.070936 , 0.083671 , 0.084555 , 0.076517 , 0.096333 , 0.090789 , 0.109649 , 0.10546 , 0.087218 , 0.075803 , 0.068782 , 0.10477 , 0.099759 , 0.090692 , 0.091818 , 0.09597 , 0.091176 , 0.092084 , 0.075343 , 0.085414 , 0.100897 , 0.116875 , 0.085366 , 0.077328 , 0.065949 , 0.075778 , 0.051217 , 0.07136 , 0.059424 , 0.079712 , 0.080596 , 0.076686 , 0.08677 , 0.075645 , 0.085378 , 0.061337 , 0.071989 , 0.071142 , 0.053481 , 0.106162 , 0.074834 , 0.094384 , 0.101647 , 0.092786 , 0.061966 , 0.072691 , 0.048324 , 0.065598 , 0.054631 , 0.090292 , 0.072704 , 0.074967 , 0.081891 , 0.07941 , 0.06515 , 0.062172 , 0.09925 , 0.066118 , 0.060877 , 0.094299 , 0.096648 , 0.082472 , 0.090547 , 0.081589 , 0.092532 , 0.103947 , 0.091394 , 0.107615 , 0.094106 , 0.103717 , 0.080378 , 0.082485 , 0.066905 , 0.079349 
 428 , 0.083066 , 0.080494 , 0.066395 , 0.081622 , 0.072474 , 0.080445 , 0.071151 , 0.083928 , 0.084862 , 0.076732 , 0.096935 , 0.09122 , 0.110294 , 0.105986 , 0.087519 , 0.076174 , 0.069052 , 0.105428 , 0.100041 , 0.091111 , 0.092263 , 0.096559 , 0.091705 , 0.092724 , 0.075992 , 0.086003 , 0.101788 , 0.117999 , 0.086075 , 0.078031 , 0.066322 , 0.076065 , 0.051543 , 0.071746 , 0.059758 , 0.080009 , 0.081101 , 0.076987 , 0.087301 , 0.07592 , 0.085723 , 0.061651 , 0.072316 , 0.071357 , 0.053727 , 0.107054 , 0.075386 , 0.095151 , 0.102516 , 0.093465 , 0.062306 , 0.073165 , 0.048486 , 0.06597 , 0.054977 , 0.090528 , 0.072971 , 0.075471 , 0.082484 , 0.079972 , 0.065485 , 0.062451 , 0.099774 , 0.066358 , 0.061189 , 0.09469 , 0.096911 , 0.082739 , 0.090929 , 0.081914 , 0.093853 , 0.10487 , 0.092215 , 0.108547 , 0.094872 , 0.104785 , 0.080821 , 0.082824 , 0.067378 , 0.079984 
 429 , 0.083624 , 0.080888 , 0.066659 , 0.082056 , 0.072825 , 0.080657 , 0.071377 , 0.084196 , 0.085169 , 0.07696 , 0.097525 , 0.091651 , 0.110928 , 0.106501 , 0.08782 , 0.076546 , 0.069322 , 0.106075 , 0.100323 , 0.09153 , 0.092697 , 0.097148 , 0.092247 , 0.093366 , 0.076644 , 0.086592 , 0.10267 , 0.119125 , 0.086774 , 0.078735 , 0.066683 , 0.076352 , 0.051858 , 0.072119 , 0.060091 , 0.080304 , 0.081606 , 0.077288 , 0.087832 , 0.076181 , 0.086069 , 0.061952 , 0.072654 , 0.071584 , 0.053974 , 0.107924 , 0.075926 , 0.095896 , 0.103387 , 0.094144 , 0.062633 , 0.073627 , 0.048647 , 0.06633 , 0.055312 , 0.090763 , 0.073238 , 0.075962 , 0.083077 , 0.080523 , 0.065832 , 0.06273 , 0.100286 , 0.066598 , 0.061502 , 0.095081 , 0.09716 , 0.083016 , 0.091323 , 0.08225 , 0.095166 , 0.105783 , 0.093025 , 0.109468 , 0.095628 , 0.105844 , 0.081241 , 0.083174 , 0.067851 , 0.08062 
 430 , 0.084263 , 0.081333 , 0.067043 , 0.082537 , 0.073294 , 0.080992 , 0.071665 , 0.084507 , 0.085577 , 0.077222 , 0.098139 , 0.09218 , 0.111613 , 0.107065 , 0.088216 , 0.077088 , 0.06967 , 0.106895 , 0.100669 , 0.092059 , 0.093226 , 0.097774 , 0.092825 , 0.094004 , 0.077344 , 0.087243 , 0.103612 , 0.120357 , 0.087547 , 0.079521 , 0.067043 , 0.076736 , 0.052183 , 0.072516 , 0.060525 , 0.080615 , 0.082184 , 0.077648 , 0.088447 , 0.076553 , 0.086489 , 0.062313 , 0.073015 , 0.071871 , 0.054262 , 0.108865 , 0.076566 , 0.096741 , 0.104378 , 0.094916 , 0.063043 , 0.074267 , 0.048851 , 0.066788 , 0.055697 , 0.091025 , 0.073537 , 0.076541 , 0.083655 , 0.081126 , 0.066229 , 0.063055 , 0.100936 , 0.066934 , 0.061912 , 0.095549 , 0.097531 , 0.083388 , 0.09184 , 0.082707 , 0.096497 , 0.106786 , 0.093895 , 0.110446 , 0.096437 , 0.106932 , 0.081697 , 0.083582 , 0.068406 , 0.081284 
 431 , 0.084892 , 0.081789 , 0.067464 , 0.083018 , 0.073768 , 0.081363 , 0.071967 , 0.084819 , 0.086 , 0.077505 , 0.098731 , 0.092731 , 0.112277 , 0.10764 , 0.088617 , 0.077675 , 0.070032 , 0.107737 , 0.101019 , 0.092597 , 0.093765 , 0.098414 , 0.093388 , 0.094641 , 0.07804 , 0.087874 , 0.104561 , 0.121588 , 0.0883 , 0.080292 , 0.067403 , 0.077127 , 0.052518 , 0.072916 , 0.060977 , 0.080925 , 0.082775 , 0.078004 , 0.089079 , 0.076933 , 0.086913 , 0.062693 , 0.073391 , 0.072162 , 0.054562 , 0.109782 , 0.077225 , 0.097575 , 0.105376 , 0.0957 , 0.063447 , 0.074924 , 0.049061 , 0.067257 , 0.056096 , 0.091282 , 0.073841 , 0.077127 , 0.084235 , 0.081716 , 0.066636 , 0.063386 , 0.101615 , 0.067305 , 0.062352 , 0.096029 , 0.097915 , 0.083785 , 0.09239 , 0.083176 , 0.097794 , 0.107786 , 0.094763 , 0.111413 , 0.097246 , 0.108005 , 0.082154 , 0.084016 , 0.068973 , 0.081935 
 432 , 0.085508 , 0.082232 , 0.067871 , 0.083499 , 0.074241 , 0.081708 , 0.072256 , 0.085131 , 0.08641 , 0.077774 , 0.099309 , 0.093267 , 0.112927 , 0.108189 , 0.089016 , 0.078237 , 0.07038 , 0.108554 , 0.101355 , 0.093121 , 0.094291 , 0.099029 , 0.09395 , 0.095241 , 0.078724 , 0.088493 , 0.105473 , 0.122781 , 0.089041 , 0.081038 , 0.067749 , 0.077518 , 0.052828 , 0.073303 , 0.061403 , 0.081233 , 0.083352 , 0.078358 , 0.089686 , 0.077299 , 0.087335 , 0.063047 , 0.073742 , 0.072451 , 0.05485 , 0.110686 , 0.077859 , 0.098383 , 0.10635 , 0.096447 , 0.063839 , 0.075557 , 0.049259 , 0.067725 , 0.056482 , 0.091538 , 0.074144 , 0.077701 , 0.08479 , 0.082293 , 0.067042 , 0.063693 , 0.102281 , 0.067652 , 0.062767 , 0.096495 , 0.098286 , 0.084169 , 0.092914 , 0.083645 , 0.099053 , 0.108761 , 0.095594 , 0.112355 , 0.09803 , 0.109041 , 0.082597 , 0.084424 , 0.069527 , 0.082561 
 433 , 0.086113 , 0.082667 , 0.068216 , 0.083982 , 0.074705 , 0.082058 , 0.07255 , 0.085455 , 0.086843 , 0.078065 , 0.099882 , 0.093783 , 0.113579 , 0.108721 , 0.0894 , 0.078783 , 0.070736 , 0.109342 , 0.101696 , 0.093625 , 0.094793 , 0.099627 , 0.094501 , 0.095865 , 0.079368 , 0.089144 , 0.106372 , 0.123964 , 0.089753 , 0.081754 , 0.068118 , 0.07787 , 0.053131 , 0.073719 , 0.06186 , 0.081547 , 0.083921 , 0.078735 , 0.090313 , 0.077639 , 0.087756 , 0.063394 , 0.074108 , 0.072769 , 0.05514 , 0.111558 , 0.078455 , 0.099152 , 0.107297 , 0.09718 , 0.064259 , 0.076227 , 0.049466 , 0.068191 , 0.056844 , 0.091774 , 0.074437 , 0.078272 , 0.08537 , 0.08285 , 0.067485 , 0.064027 , 0.10289 , 0.067996 , 0.063175 , 0.096973 , 0.098665 , 0.084542 , 0.093418 , 0.084128 , 0.100296 , 0.109707 , 0.096413 , 0.113311 , 0.098823 , 0.110097 , 0.083069 , 0.084822 , 0.070054 , 0.083203 
