DHT_00004_DHT_REF.spu,DHT_00003_DHT_REF.spu,DHT_00002_DHT_REF.spu,
Wavelength,DHT_00005_B1_NP.spu,DHT_00006_B1_NP.spu,DHT_00007_B1_NP.spu,DHT_00008_B1_NP.spu,DHT_00009_B1_NP.spu,DHT_00010_B1_P.spu,DHT_00011_B1_P.spu,DHT_00012_B1_P.spu,DHT_00013_B1_P.spu,DHT_00014_B1_P.spu,DHT_00015_B1_CT2.spu,DHT_00016_B1_CT2.spu,DHT_00017_B1_CT2.spu,DHT_00018_B1_CT2.spu,DHT_00019_B1_CT2.spu,DHT_00020_B1_CT1.spu,DHT_00021_B1_CT1.spu,DHT_00022_B1_CT1.spu,DHT_00023_B1_CT1.spu,DHT_00024_B1_CT1.spu,DHT_00025_B1_N.spu,DHT_00026_B1_N.spu,DHT_00027_B1_N.spu,DHT_00028_B1_N.spu,DHT_00029_B1_N.spu,DHT_00030_B2_EX3.spu,DHT_00031_B2_EX3.spu,DHT_00032_B2_EX3.spu,DHT_00033_B2_EX3.spu,DHT_00034_B2_EX3.spu,DHT_00035_B2_NP.spu,DHT_00036_B2_NP.spu,DHT_00037_B2_NP.spu,DHT_00038_B2_NP.spu,DHT_00039_B2_NP.spu,DHT_00040_B2_CT2.spu,DHT_00041_B2_CT2.spu,DHT_00042_B2_CT2.spu,DHT_00043_B2_CT2.spu,DHT_00044_B2_CT2.spu,DHT_00045_B2_CT1.spu,DHT_00046_B2_CT1.spu,DHT_00047_B2_CT1.spu,DHT_00048_B2_CT1.spu,DHT_00049_B2_CT1.spu,DHT_00050_B2_N.spu,DHT_00051_B2_N.spu,DHT_00052_B2_N.spu,DHT_00053_B2_N.spu,DHT_00054_B2_N.spu,DHT_00055_B2_P.spu,DHT_00056_B2_P.spu,DHT_00057_B2_P.spu,DHT_00058_B2_P.spu,DHT_00059_B2_P.spu,DHT_00060_B3_NP.spu,DHT_00061_B3_NP.spu,DHT_00062_B3_NP.spu,DHT_00063_B3_NP.spu,DHT_00064_B3_NP.spu,DHT_00065_B3_CT2.spu,DHT_00066_B3_CT2.spu,DHT_00067_B3_CT2.spu,DHT_00068_B3_CT2.spu,DHT_00069_B3_CT2.spu,DHT_00070_B3_CT1.spu,DHT_00071_B3_CT1.spu,DHT_00072_B3_CT1.spu,DHT_00073_B3_CT1.spu,DHT_00074_B3_CT1.spu,DHT_00075_B3_N.spu,DHT_00076_B3_N.spu,DHT_00077_B3_N.spu,DHT_00078_B3_N.spu,DHT_00079_B3_N.spu,DHT_00080_B3_P.spu,DHT_00081_B3_P.spu,DHT_00082_B3_P.spu,DHT_00083_B3_P.spu,DHT_00084_B3_P.spu
 370 , 0.025495 , 0.058777 , 0.022884 , 0.043625 , 0.047856 , 0.057722 , 0.058048 , 0.035473 , 0.043299 , 0.059172 , 0.043283 , 0.04243 , 0.036382 , 0.038519 , 0.036003 , 0.027495 , 0.02254 , 0.032258 , 0.03065 , 0.029612 , 0.046996 , 0.060628 , 0.071942 , 0.037529 , 0.044263 , 0.022897 , 0.035445 , 0.030073 , 0.023789 , 0.034718 , 0.056469 , 0.061421 , 0.042321 , 0.056244 , 0.03917 , 0.032011 , 0.026831 , 0.024784 , 0.038105 , 0.046824 , 0.026917 , 0.028134 , 0.021597 , 0.025975 , 0.02982 , 0.031435 , 0.026895 , 0.021469 , 0.054306 , 0.068043 , 0.034031 , 0.03883 , 0.031512 , 0.047388 , 0.045392 , 0.042983 , 0.025961 , 0.023745 , 0.042944 , 0.040481 , 0.049439 , 0.044258 , 0.046463 , 0.0265 , 0.05285 , 0.06142 , 0.047894 , 0.042759 , 0.02948 , 0.051109 , 0.016264 , 0.034626 , 0.045684 , 0.053651 , 0.029777 , 0.056422 , 0.061002 , 0.044922 , 0.058352 , 0.054766 
 371 , 0.025736 , 0.059347 , 0.023279 , 0.044059 , 0.048275 , 0.058072 , 0.058237 , 0.035824 , 0.043699 , 0.059503 , 0.043445 , 0.042691 , 0.036611 , 0.038581 , 0.036219 , 0.027717 , 0.022634 , 0.032424 , 0.030648 , 0.029734 , 0.047318 , 0.060996 , 0.07205 , 0.037537 , 0.044703 , 0.02311 , 0.035691 , 0.030102 , 0.02393 , 0.034908 , 0.056849 , 0.061915 , 0.042414 , 0.05676 , 0.039521 , 0.03227 , 0.026973 , 0.025015 , 0.038494 , 0.046968 , 0.027081 , 0.028298 , 0.021837 , 0.026157 , 0.029981 , 0.031536 , 0.027192 , 0.021563 , 0.054584 , 0.068674 , 0.034106 , 0.039261 , 0.031755 , 0.047585 , 0.045508 , 0.043025 , 0.026104 , 0.023896 , 0.043152 , 0.040629 , 0.04977 , 0.044605 , 0.046734 , 0.026634 , 0.053168 , 0.061739 , 0.048255 , 0.043406 , 0.029713 , 0.051537 , 0.016239 , 0.034906 , 0.045914 , 0.053885 , 0.029963 , 0.056769 , 0.061366 , 0.045033 , 0.058454 , 0.055062 
 372 , 0.025975 , 0.059927 , 0.023661 , 0.044503 , 0.048686 , 0.058407 , 0.058433 , 0.036168 , 0.044079 , 0.059822 , 0.04363 , 0.042961 , 0.036832 , 0.038673 , 0.03643 , 0.027942 , 0.022731 , 0.032589 , 0.030664 , 0.029845 , 0.04762 , 0.061353 , 0.072147 , 0.037559 , 0.045102 , 0.023322 , 0.035929 , 0.030144 , 0.024071 , 0.035095 , 0.057226 , 0.062384 , 0.042537 , 0.057271 , 0.039861 , 0.032516 , 0.027121 , 0.025242 , 0.038878 , 0.047162 , 0.027245 , 0.028463 , 0.022063 , 0.026327 , 0.030138 , 0.031633 , 0.027482 , 0.021667 , 0.054832 , 0.069241 , 0.034186 , 0.039672 , 0.031991 , 0.047782 , 0.045621 , 0.043087 , 0.026243 , 0.024054 , 0.043373 , 0.040769 , 0.050092 , 0.044958 , 0.047 , 0.026766 , 0.053468 , 0.06204 , 0.048618 , 0.044027 , 0.029954 , 0.051973 , 0.016238 , 0.035169 , 0.046155 , 0.054102 , 0.030155 , 0.057086 , 0.061708 , 0.045159 , 0.058562 , 0.055345 
 373 , 0.026135 , 0.060469 , 0.023796 , 0.044959 , 0.048851 , 0.058441 , 0.058625 , 0.036313 , 0.044107 , 0.059877 , 0.044007 , 0.043224 , 0.036904 , 0.039005 , 0.036528 , 0.02814 , 0.022812 , 0.032685 , 0.030835 , 0.029759 , 0.04758 , 0.06155 , 0.072002 , 0.037644 , 0.044883 , 0.023479 , 0.03596 , 0.030278 , 0.024194 , 0.035161 , 0.057468 , 0.062414 , 0.042887 , 0.057535 , 0.039947 , 0.032548 , 0.027266 , 0.025358 , 0.039068 , 0.0479 , 0.027352 , 0.028578 , 0.022058 , 0.026282 , 0.030198 , 0.031617 , 0.027615 , 0.021841 , 0.054586 , 0.068961 , 0.034265 , 0.039746 , 0.032045 , 0.047834 , 0.045548 , 0.043334 , 0.026315 , 0.024235 , 0.043677 , 0.040726 , 0.050252 , 0.045244 , 0.047081 , 0.026815 , 0.053446 , 0.061988 , 0.048904 , 0.044172 , 0.030182 , 0.052364 , 0.016536 , 0.035166 , 0.046494 , 0.053975 , 0.030361 , 0.056899 , 0.061653 , 0.04535 , 0.058659 , 0.0554 
 374 , 0.026307 , 0.061032 , 0.023943 , 0.045426 , 0.049058 , 0.058507 , 0.058835 , 0.036486 , 0.044166 , 0.059966 , 0.044401 , 0.043522 , 0.036995 , 0.039353 , 0.036629 , 0.028354 , 0.022905 , 0.032791 , 0.031024 , 0.029696 , 0.047574 , 0.061771 , 0.071882 , 0.037748 , 0.044711 , 0.023651 , 0.036017 , 0.030424 , 0.024331 , 0.035249 , 0.057733 , 0.06248 , 0.043251 , 0.057833 , 0.040062 , 0.032595 , 0.027428 , 0.025493 , 0.039284 , 0.048632 , 0.027474 , 0.028701 , 0.022065 , 0.026259 , 0.030268 , 0.031626 , 0.027765 , 0.022024 , 0.054395 , 0.06874 , 0.034364 , 0.03985 , 0.032132 , 0.047924 , 0.045509 , 0.043591 , 0.026405 , 0.024428 , 0.043986 , 0.040716 , 0.050444 , 0.045554 , 0.047194 , 0.026881 , 0.053455 , 0.061978 , 0.049212 , 0.044342 , 0.030426 , 0.052786 , 0.016837 , 0.035187 , 0.046833 , 0.053894 , 0.030572 , 0.056761 , 0.06164 , 0.045556 , 0.058769 , 0.055484 
 375 , 0.026486 , 0.061612 , 0.024101 , 0.045899 , 0.049299 , 0.058599 , 0.059059 , 0.036683 , 0.044252 , 0.060081 , 0.04481 , 0.043848 , 0.037103 , 0.039716 , 0.036731 , 0.02858 , 0.02301 , 0.032909 , 0.031229 , 0.029652 , 0.047596 , 0.062008 , 0.071781 , 0.037866 , 0.044576 , 0.023834 , 0.036094 , 0.030581 , 0.024479 , 0.035353 , 0.058016 , 0.062576 , 0.043627 , 0.058162 , 0.0402 , 0.032653 , 0.027603 , 0.025644 , 0.039523 , 0.049361 , 0.027609 , 0.028832 , 0.022083 , 0.026255 , 0.030347 , 0.031656 , 0.02793 , 0.022213 , 0.054248 , 0.068568 , 0.034477 , 0.039979 , 0.032245 , 0.048045 , 0.045496 , 0.043855 , 0.02651 , 0.02463 , 0.044298 , 0.040734 , 0.050663 , 0.045882 , 0.047332 , 0.02696 , 0.053492 , 0.062001 , 0.049537 , 0.044535 , 0.030685 , 0.053233 , 0.017141 , 0.035226 , 0.047174 , 0.053848 , 0.030786 , 0.056661 , 0.06166 , 0.045777 , 0.058889 , 0.055591 
 376 , 0.026595 , 0.062144 , 0.024224 , 0.046365 , 0.049638 , 0.058907 , 0.059113 , 0.03689 , 0.044419 , 0.060153 , 0.044908 , 0.043948 , 0.03719 , 0.039802 , 0.036889 , 0.02872 , 0.02314 , 0.033007 , 0.031407 , 0.029893 , 0.047688 , 0.061806 , 0.071769 , 0.037872 , 0.044611 , 0.023855 , 0.036229 , 0.030728 , 0.024521 , 0.035388 , 0.058211 , 0.062736 , 0.043903 , 0.058487 , 0.040398 , 0.032808 , 0.027742 , 0.02576 , 0.03974 , 0.049343 , 0.027655 , 0.02887 , 0.022163 , 0.026188 , 0.030348 , 0.031788 , 0.028101 , 0.022395 , 0.054317 , 0.068482 , 0.034563 , 0.040119 , 0.032388 , 0.048127 , 0.045653 , 0.043985 , 0.026634 , 0.024861 , 0.044412 , 0.040843 , 0.050695 , 0.04606 , 0.047446 , 0.026982 , 0.053559 , 0.062093 , 0.049646 , 0.044934 , 0.030926 , 0.053558 , 0.01721 , 0.035287 , 0.047284 , 0.053886 , 0.03086 , 0.056837 , 0.061685 , 0.045963 , 0.058851 , 0.055642 
 377 , 0.026692 , 0.062662 , 0.024339 , 0.046835 , 0.050002 , 0.05928 , 0.059117 , 0.037106 , 0.044629 , 0.060223 , 0.044897 , 0.04396 , 0.037283 , 0.039801 , 0.03709 , 0.028835 , 0.023279 , 0.033111 , 0.031583 , 0.03025 , 0.04783 , 0.061476 , 0.071812 , 0.037842 , 0.044726 , 0.023822 , 0.036404 , 0.030891 , 0.024534 , 0.035415 , 0.058402 , 0.062932 , 0.044156 , 0.058838 , 0.040633 , 0.033021 , 0.027876 , 0.025865 , 0.039959 , 0.049077 , 0.027675 , 0.028892 , 0.02228 , 0.026108 , 0.030343 , 0.031975 , 0.028283 , 0.022589 , 0.05449 , 0.068474 , 0.034646 , 0.040277 , 0.03254 , 0.048203 , 0.045885 , 0.044073 , 0.026773 , 0.025114 , 0.04448 , 0.040999 , 0.050687 , 0.046195 , 0.047575 , 0.027002 , 0.053668 , 0.062241 , 0.049692 , 0.045426 , 0.031163 , 0.053846 , 0.017193 , 0.035373 , 0.04734 , 0.053957 , 0.030901 , 0.057128 , 0.061733 , 0.046134 , 0.058783 , 0.0557 
 378 , 0.026804 , 0.063184 , 0.024456 , 0.047311 , 0.050342 , 0.059627 , 0.059143 , 0.037322 , 0.044849 , 0.060311 , 0.044902 , 0.043973 , 0.037391 , 0.039825 , 0.037313 , 0.028963 , 0.023415 , 0.033228 , 0.031768 , 0.030609 , 0.047994 , 0.061198 , 0.071875 , 0.037822 , 0.04485 , 0.023802 , 0.036596 , 0.031074 , 0.024561 , 0.03546 , 0.058622 , 0.063135 , 0.044429 , 0.059214 , 0.04088 , 0.033253 , 0.028016 , 0.025974 , 0.040184 , 0.048872 , 0.027707 , 0.028933 , 0.022408 , 0.02604 , 0.030366 , 0.032176 , 0.028471 , 0.022797 , 0.054676 , 0.068507 , 0.034736 , 0.040445 , 0.032685 , 0.048286 , 0.046119 , 0.044176 , 0.026918 , 0.025377 , 0.044586 , 0.041167 , 0.050716 , 0.046345 , 0.047731 , 0.027043 , 0.053805 , 0.062418 , 0.04976 , 0.045925 , 0.031405 , 0.054145 , 0.017187 , 0.035475 , 0.047435 , 0.054024 , 0.030969 , 0.05742 , 0.061803 , 0.046301 , 0.058753 , 0.055789 
 379 , 0.02687 , 0.063695 , 0.024567 , 0.047712 , 0.050704 , 0.059864 , 0.05923 , 0.037459 , 0.045007 , 0.060404 , 0.044969 , 0.044023 , 0.037473 , 0.039905 , 0.037459 , 0.029058 , 0.023447 , 0.033331 , 0.031891 , 0.030825 , 0.048054 , 0.061034 , 0.071741 , 0.037829 , 0.044916 , 0.023764 , 0.036746 , 0.031214 , 0.024564 , 0.03542 , 0.058831 , 0.063286 , 0.044662 , 0.059511 , 0.041076 , 0.033431 , 0.028074 , 0.026018 , 0.040383 , 0.048805 , 0.027649 , 0.028897 , 0.022483 , 0.025975 , 0.030356 , 0.0323 , 0.028587 , 0.022864 , 0.054745 , 0.068437 , 0.034763 , 0.040494 , 0.032795 , 0.048313 , 0.046195 , 0.044237 , 0.027038 , 0.025507 , 0.044695 , 0.041248 , 0.050783 , 0.046436 , 0.04781 , 0.027079 , 0.05393 , 0.062485 , 0.04982 , 0.046341 , 0.031513 , 0.054385 , 0.017154 , 0.03556 , 0.047522 , 0.054068 , 0.031057 , 0.057592 , 0.061848 , 0.046392 , 0.058789 , 0.055817 
 380 , 0.026823 , 0.064198 , 0.024666 , 0.047975 , 0.051145 , 0.059908 , 0.059407 , 0.037444 , 0.045031 , 0.0605 , 0.045154 , 0.044153 , 0.037496 , 0.040085 , 0.037447 , 0.029085 , 0.023282 , 0.033405 , 0.031902 , 0.030777 , 0.047902 , 0.061073 , 0.071266 , 0.037906 , 0.044876 , 0.023685 , 0.036817 , 0.031262 , 0.024523 , 0.035209 , 0.059018 , 0.063355 , 0.044824 , 0.059654 , 0.04118 , 0.033499 , 0.027972 , 0.02594 , 0.040543 , 0.048958 , 0.027411 , 0.028703 , 0.02245 , 0.025917 , 0.030276 , 0.032274 , 0.028566 , 0.022653 , 0.054585 , 0.068184 , 0.034686 , 0.040323 , 0.032873 , 0.048251 , 0.04598 , 0.044226 , 0.027118 , 0.025367 , 0.044796 , 0.041167 , 0.050926 , 0.04644 , 0.047735 , 0.027092 , 0.054021 , 0.062353 , 0.049859 , 0.046614 , 0.03138 , 0.054538 , 0.017066 , 0.035617 , 0.047564 , 0.054097 , 0.031162 , 0.057535 , 0.061839 , 0.046368 , 0.058956 , 0.055714 
 381 , 0.026774 , 0.064733 , 0.024775 , 0.048269 , 0.051603 , 0.05996 , 0.059564 , 0.037439 , 0.045049 , 0.060611 , 0.045351 , 0.044289 , 0.037537 , 0.040272 , 0.037464 , 0.029131 , 0.023144 , 0.033499 , 0.031946 , 0.030762 , 0.047783 , 0.06115 , 0.070901 , 0.038019 , 0.044871 , 0.023622 , 0.036921 , 0.031331 , 0.024506 , 0.035033 , 0.059255 , 0.06348 , 0.04504 , 0.059848 , 0.041326 , 0.03359 , 0.027894 , 0.025886 , 0.040739 , 0.049117 , 0.027188 , 0.028534 , 0.022431 , 0.025877 , 0.030221 , 0.032281 , 0.028578 , 0.022465 , 0.054457 , 0.068027 , 0.034651 , 0.040197 , 0.032998 , 0.048229 , 0.045813 , 0.044258 , 0.027225 , 0.02524 , 0.044938 , 0.04112 , 0.051113 , 0.046519 , 0.047695 , 0.02712 , 0.054138 , 0.062301 , 0.049929 , 0.046941 , 0.031294 , 0.054749 , 0.01699 , 0.035709 , 0.047623 , 0.054172 , 0.031269 , 0.057496 , 0.061852 , 0.046396 , 0.059159 , 0.055639 
 382 , 0.026722 , 0.06529 , 0.024891 , 0.048582 , 0.052076 , 0.060016 , 0.059712 , 0.037441 , 0.045065 , 0.060729 , 0.045555 , 0.044433 , 0.037592 , 0.040468 , 0.037496 , 0.029186 , 0.023019 , 0.033604 , 0.032012 , 0.030765 , 0.047684 , 0.061247 , 0.070598 , 0.038154 , 0.044885 , 0.023569 , 0.037048 , 0.031413 , 0.024504 , 0.03488 , 0.059526 , 0.063637 , 0.045285 , 0.060073 , 0.041499 , 0.033694 , 0.027831 , 0.025848 , 0.040958 , 0.049281 , 0.026971 , 0.028378 , 0.02242 , 0.025846 , 0.030179 , 0.03231 , 0.02861 , 0.02229 , 0.054346 , 0.067928 , 0.034642 , 0.040098 , 0.033155 , 0.048232 , 0.045672 , 0.044313 , 0.02735 , 0.025119 , 0.045105 , 0.041094 , 0.051329 , 0.046642 , 0.047678 , 0.027158 , 0.054273 , 0.062298 , 0.050016 , 0.047302 , 0.031235 , 0.054997 , 0.016919 , 0.035822 , 0.047697 , 0.054276 , 0.031379 , 0.057466 , 0.06188 , 0.046455 , 0.059387 , 0.055578 
 383 , 0.026828 , 0.06577 , 0.025012 , 0.04897 , 0.052323 , 0.05998 , 0.059675 , 0.037634 , 0.045186 , 0.060793 , 0.045588 , 0.044375 , 0.037702 , 0.040467 , 0.037481 , 0.029255 , 0.023106 , 0.03347 , 0.031894 , 0.030806 , 0.047852 , 0.061206 , 0.070493 , 0.038053 , 0.04487 , 0.023568 , 0.037118 , 0.031415 , 0.024507 , 0.034925 , 0.059898 , 0.063715 , 0.045545 , 0.060552 , 0.041658 , 0.033639 , 0.027909 , 0.025796 , 0.041034 , 0.049436 , 0.027041 , 0.028374 , 0.022322 , 0.025869 , 0.030115 , 0.032434 , 0.028648 , 0.022227 , 0.054422 , 0.067955 , 0.034603 , 0.040256 , 0.032995 , 0.048359 , 0.045658 , 0.044264 , 0.027404 , 0.025289 , 0.045161 , 0.041152 , 0.051314 , 0.046832 , 0.047767 , 0.027038 , 0.054337 , 0.062287 , 0.050206 , 0.047262 , 0.031312 , 0.05527 , 0.016858 , 0.035824 , 0.047744 , 0.05429 , 0.031423 , 0.057494 , 0.061998 , 0.046554 , 0.059419 , 0.055724 
 384 , 0.026945 , 0.066261 , 0.025136 , 0.049355 , 0.05258 , 0.059965 , 0.059657 , 0.037847 , 0.045326 , 0.060879 , 0.045646 , 0.044324 , 0.037825 , 0.040471 , 0.037484 , 0.029342 , 0.023213 , 0.033346 , 0.031779 , 0.030856 , 0.048038 , 0.061212 , 0.070414 , 0.037958 , 0.044869 , 0.023579 , 0.037196 , 0.031436 , 0.024517 , 0.034994 , 0.060301 , 0.063818 , 0.045818 , 0.061048 , 0.041834 , 0.033598 , 0.028004 , 0.025754 , 0.041138 , 0.04962 , 0.027134 , 0.02838 , 0.022234 , 0.025908 , 0.030061 , 0.032571 , 0.028698 , 0.022184 , 0.054538 , 0.068012 , 0.034592 , 0.040441 , 0.032834 , 0.048513 , 0.045677 , 0.044236 , 0.027459 , 0.025479 , 0.045233 , 0.041233 , 0.051301 , 0.047049 , 0.047867 , 0.02693 , 0.054424 , 0.062289 , 0.050418 , 0.047213 , 0.031403 , 0.055562 , 0.016802 , 0.035839 , 0.047809 , 0.054326 , 0.031489 , 0.057558 , 0.062118 , 0.046673 , 0.059476 , 0.055903 
 385 , 0.027064 , 0.066754 , 0.025261 , 0.049733 , 0.05285 , 0.059969 , 0.059656 , 0.038069 , 0.045474 , 0.060976 , 0.045722 , 0.044282 , 0.03795 , 0.040489 , 0.0375 , 0.029436 , 0.023327 , 0.03323 , 0.031671 , 0.030905 , 0.048231 , 0.061253 , 0.070345 , 0.037878 , 0.044872 , 0.023598 , 0.037279 , 0.031468 , 0.024537 , 0.035071 , 0.06072 , 0.063938 , 0.046103 , 0.061545 , 0.042023 , 0.033572 , 0.028107 , 0.025717 , 0.041258 , 0.049825 , 0.027237 , 0.028387 , 0.022153 , 0.025958 , 0.030011 , 0.032711 , 0.028754 , 0.02215 , 0.054676 , 0.06808 , 0.0346 , 0.040638 , 0.032681 , 0.048678 , 0.04571 , 0.044226 , 0.02752 , 0.025678 , 0.045316 , 0.041326 , 0.051297 , 0.047283 , 0.047971 , 0.026832 , 0.054527 , 0.062296 , 0.050639 , 0.04717 , 0.031495 , 0.055865 , 0.016747 , 0.035861 , 0.047885 , 0.054378 , 0.031567 , 0.057641 , 0.062237 , 0.046806 , 0.059555 , 0.056098 
 386 , 0.027059 , 0.067326 , 0.025379 , 0.050205 , 0.053114 , 0.060091 , 0.059709 , 0.03817 , 0.045595 , 0.061127 , 0.045889 , 0.044338 , 0.038006 , 0.040477 , 0.037561 , 0.02952 , 0.02331 , 0.033164 , 0.031593 , 0.030889 , 0.048332 , 0.061102 , 0.070281 , 0.037859 , 0.044919 , 0.023573 , 0.037355 , 0.031453 , 0.024532 , 0.035072 , 0.060987 , 0.064109 , 0.046337 , 0.061949 , 0.042234 , 0.033609 , 0.028064 , 0.02575 , 0.041282 , 0.049978 , 0.027217 , 0.028362 , 0.022099 , 0.02595 , 0.030021 , 0.032751 , 0.028792 , 0.022134 , 0.054742 , 0.068128 , 0.034565 , 0.040666 , 0.032608 , 0.04871 , 0.045763 , 0.044331 , 0.027525 , 0.025712 , 0.04536 , 0.041349 , 0.051339 , 0.047454 , 0.047996 , 0.026744 , 0.05456 , 0.062303 , 0.050804 , 0.047275 , 0.031488 , 0.05609 , 0.016708 , 0.035832 , 0.047975 , 0.054388 , 0.031631 , 0.057675 , 0.062195 , 0.046887 , 0.059489 , 0.056107 
 387 , 0.026974 , 0.067915 , 0.025485 , 0.050718 , 0.053356 , 0.060293 , 0.059793 , 0.038185 , 0.045697 , 0.061307 , 0.046107 , 0.044455 , 0.03801 , 0.040449 , 0.037645 , 0.029592 , 0.0232 , 0.033132 , 0.031528 , 0.030822 , 0.048364 , 0.060824 , 0.07022 , 0.037872 , 0.044991 , 0.02352 , 0.037418 , 0.031407 , 0.024515 , 0.035023 , 0.061137 , 0.064299 , 0.046521 , 0.062269 , 0.042446 , 0.033684 , 0.027928 , 0.025826 , 0.041233 , 0.050085 , 0.027121 , 0.02831 , 0.022063 , 0.025899 , 0.030059 , 0.032718 , 0.028817 , 0.022132 , 0.054748 , 0.068146 , 0.034495 , 0.040579 , 0.032584 , 0.04864 , 0.045815 , 0.044508 , 0.027494 , 0.025631 , 0.045369 , 0.041314 , 0.051412 , 0.047573 , 0.047974 , 0.026658 , 0.054533 , 0.062306 , 0.050921 , 0.047459 , 0.031407 , 0.05625 , 0.016677 , 0.035762 , 0.048072 , 0.054359 , 0.031683 , 0.057667 , 0.062058 , 0.046931 , 0.059327 , 0.055998 
 388 , 0.026893 , 0.068471 , 0.025582 , 0.051197 , 0.053585 , 0.060485 , 0.059875 , 0.038199 , 0.045796 , 0.061475 , 0.046309 , 0.044563 , 0.038016 , 0.040432 , 0.037722 , 0.029658 , 0.023093 , 0.033096 , 0.031464 , 0.030758 , 0.048386 , 0.060554 , 0.070154 , 0.037883 , 0.045053 , 0.023469 , 0.037479 , 0.031363 , 0.024496 , 0.034967 , 0.061274 , 0.064478 , 0.04669 , 0.062566 , 0.042637 , 0.033747 , 0.027801 , 0.025899 , 0.041179 , 0.050179 , 0.027026 , 0.02826 , 0.022025 , 0.025848 , 0.030098 , 0.032688 , 0.028842 , 0.022125 , 0.054745 , 0.06815 , 0.034417 , 0.040501 , 0.032555 , 0.048565 , 0.045855 , 0.044663 , 0.027462 , 0.025559 , 0.045374 , 0.041275 , 0.051485 , 0.047685 , 0.04796 , 0.026577 , 0.054511 , 0.06231 , 0.051031 , 0.047625 , 0.031327 , 0.056395 , 0.016647 , 0.035691 , 0.048166 , 0.054332 , 0.031726 , 0.057661 , 0.061929 , 0.046974 , 0.059169 , 0.055891 
 389 , 0.026823 , 0.068975 , 0.025645 , 0.051596 , 0.053836 , 0.060622 , 0.059913 , 0.038187 , 0.045861 , 0.061576 , 0.046437 , 0.044656 , 0.037993 , 0.040421 , 0.037763 , 0.029676 , 0.022986 , 0.033064 , 0.031426 , 0.030701 , 0.048397 , 0.060372 , 0.070092 , 0.037875 , 0.045075 , 0.02339 , 0.037523 , 0.031344 , 0.024466 , 0.034916 , 0.061428 , 0.064648 , 0.046876 , 0.062898 , 0.042825 , 0.033793 , 0.027716 , 0.025951 , 0.041161 , 0.050239 , 0.026946 , 0.028201 , 0.022007 , 0.025788 , 0.030089 , 0.032676 , 0.028864 , 0.022119 , 0.054749 , 0.068163 , 0.03438 , 0.040467 , 0.032533 , 0.048509 , 0.045866 , 0.044753 , 0.027431 , 0.025497 , 0.045386 , 0.041223 , 0.051529 , 0.047764 , 0.047942 , 0.026517 , 0.054514 , 0.062342 , 0.051096 , 0.047733 , 0.031278 , 0.056525 , 0.016624 , 0.035661 , 0.048254 , 0.0543 , 0.031773 , 0.057668 , 0.061857 , 0.046978 , 0.059056 , 0.05581 
 390 , 0.026777 , 0.069379 , 0.025577 , 0.051797 , 0.054221 , 0.060582 , 0.059802 , 0.038084 , 0.045794 , 0.061492 , 0.046351 , 0.044735 , 0.03789 , 0.040439 , 0.037691 , 0.029531 , 0.02288 , 0.033054 , 0.031483 , 0.030675 , 0.04836 , 0.060462 , 0.070027 , 0.037833 , 0.044963 , 0.023193 , 0.037537 , 0.031403 , 0.024416 , 0.034857 , 0.061669 , 0.064838 , 0.047171 , 0.063399 , 0.043068 , 0.033759 , 0.027773 , 0.025952 , 0.041253 , 0.050181 , 0.026925 , 0.028109 , 0.022049 , 0.025708 , 0.029918 , 0.032758 , 0.028894 , 0.022117 , 0.054767 , 0.068224 , 0.034482 , 0.040616 , 0.032513 , 0.048513 , 0.045765 , 0.044644 , 0.027386 , 0.025463 , 0.045441 , 0.041122 , 0.051472 , 0.047745 , 0.047899 , 0.026521 , 0.054613 , 0.062482 , 0.051023 , 0.047688 , 0.031324 , 0.056622 , 0.016615 , 0.035745 , 0.048326 , 0.054238 , 0.031824 , 0.057703 , 0.061948 , 0.046863 , 0.059074 , 0.055808 
 391 , 0.026733 , 0.069771 , 0.025514 , 0.051978 , 0.054579 , 0.060543 , 0.059699 , 0.03798 , 0.045726 , 0.061406 , 0.04627 , 0.044807 , 0.037786 , 0.040456 , 0.037624 , 0.02939 , 0.022782 , 0.033041 , 0.031535 , 0.030641 , 0.048321 , 0.06055 , 0.069959 , 0.037793 , 0.044851 , 0.023007 , 0.037543 , 0.031453 , 0.024364 , 0.034798 , 0.061887 , 0.06502 , 0.047439 , 0.063869 , 0.043288 , 0.033723 , 0.027827 , 0.025952 , 0.041337 , 0.050128 , 0.026902 , 0.028015 , 0.022094 , 0.025633 , 0.029753 , 0.032829 , 0.028921 , 0.022113 , 0.054785 , 0.068283 , 0.034573 , 0.04075 , 0.032497 , 0.048515 , 0.04567 , 0.044538 , 0.027346 , 0.025426 , 0.045489 , 0.041019 , 0.051403 , 0.047714 , 0.047852 , 0.026527 , 0.054704 , 0.062613 , 0.050953 , 0.047639 , 0.031372 , 0.056698 , 0.016605 , 0.03583 , 0.048396 , 0.054179 , 0.031872 , 0.057742 , 0.062025 , 0.046752 , 0.059087 , 0.055811 
