MAT_00009_MAT_REF.spu,MAT_00008_MAT_REF.spu,MAT_00007_MAT_REF.spu,MAT_00006_MAT_REF.spu,MAT_00005_MAT_REF.spu,
Wavelength,MAT_00010_B2_P.spu,MAT_00011_B2_P.spu,MAT_00012_B2_P.spu,MAT_00013_B2_P.spu,MAT_00014_B2_P.spu,MAT_00015_B2_CT2.spu,MAT_00016_B2_CT2.spu,MAT_00017_B2_CT2.spu,MAT_00018_B2_CT2.spu,MAT_00019_B2_CT2.spu,MAT_00020_B2_CT1.spu,MAT_00021_B2_CT1.spu,MAT_00022_B2_CT1.spu,MAT_00023_B2_CT1.spu,MAT_00024_B2_CT1.spu,MAT_00025_B2_N.spu,MAT_00026_B2_N.spu,MAT_00027_B2_N.spu,MAT_00028_B2_N.spu,MAT_00029_B2_N.spu,MAT_00030_B2_NP.spu,MAT_00031_B2_NP.spu,MAT_00032_B2_NP.spu,MAT_00033_B2_NP.spu,MAT_00034_B2_NP.spu,MAT_00035_B4_N.spu,MAT_00036_B4_N.spu,MAT_00037_B4_N.spu,MAT_00038_B4_N.spu,MAT_00039_B4_N.spu,MAT_00040_B4_P.spu,MAT_00041_B4_P.spu,MAT_00042_B4_P.spu,MAT_00043_B4_P.spu,MAT_00044_B4_P.spu,MAT_00045_B4_CT2.spu,MAT_00046_B4_CT2.spu,MAT_00047_B4_CT2.spu,MAT_00048_B4_CT2.spu,MAT_00049_B4_CT2.spu,MAT_00055_B4_CT1.spu,MAT_00056_B4_CT1.spu,MAT_00057_B4_CT1.spu,MAT_00058_B4_CT1.spu,MAT_00059_B4_CT1.spu,MAT_00060_B4_NP.spu,MAT_00061_B4_NP.spu,MAT_00062_B4_NP.spu,MAT_00063_B4_NP.spu,MAT_00064_B4_NP.spu,MAT_00065_B3_N.spu,MAT_00066_B3_N.spu,MAT_00067_B3_N.spu,MAT_00068_B3_N.spu,MAT_00069_B3_N.spu,MAT_00070_B3_CT2.spu,MAT_00071_B3_CT2.spu,MAT_00072_B3_CT2.spu,MAT_00073_B3_CT2.spu,MAT_00074_B3_CT2.spu,MAT_00075_B3_CT1.spu,MAT_00076_B3_CT1.spu,MAT_00077_B3_CT1.spu,MAT_00078_B3_CT1.spu,MAT_00079_B3_CT1.spu,MAT_00080_B3_NP.spu,MAT_00081_B3_NP.spu,MAT_00082_B3_NP.spu,MAT_00083_B3_NP.spu,MAT_00084_B3_NP.spu,MAT_00085_B3_P.spu,MAT_00086_B3_P.spu,MAT_00087_B3_P.spu,MAT_00088_B3_P.spu,MAT_00089_B3_P.spu,MAT_00090_B1_CT2.spu,MAT_00091_B1_CT2.spu,MAT_00092_B1_CT2.spu,MAT_00093_B1_CT2.spu,MAT_00094_B1_CT2.spu,MAT_00100_B1_NP.spu,MAT_00101_B1_NP.spu,MAT_00102_B1_NP.spu,MAT_00103_B1_NP.spu,MAT_00104_B1_NP.spu,MAT_00105_B1_N.spu,MAT_00106_B1_N.spu,MAT_00107_B1_N.spu,MAT_00108_B1_N.spu,MAT_00109_B1_N.spu,MAT_00110_B1_P.spu,MAT_00111_B1_P.spu,MAT_00112_B1_P.spu,MAT_00113_B1_P.spu,MAT_00114_B1_P.spu
 499 , 0.030323 , 0.049976 , 0.023142 , 0.037407 , 0.03072 , 0.03277 , 0.052133 , 0.049042 , 0.030537 , 0.054484 , 0.080503 , 0.038244 , 0.041003 , 0.028895 , 0.04959 , 0.0335 , 0.048173 , 0.025933 , 0.023432 , 0.029249 , 0.043976 , 0.038749 , 0.061268 , 0.050599 , 0.036548 , 0.032319 , 0.025664 , 0.049729 , 0.034874 , 0.027349 , 0.03891 , 0.043482 , 0.033006 , 0.038437 , 0.046133 , 0.049257 , 0.034949 , 0.029389 , 0.040112 , 0.047496 , 0.036248 , 0.030838 , 0.029346 , 0.028498 , 0.045972 , 0.017635 , 0.025911 , 0.02297 , 0.056384 , 0.031385 , 0.022938 , 0.038008 , 0.023271 , 0.049557 , 0.02984 , 0.032405 , 0.038555 , 0.045672 , 0.035067 , 0.053421 , 0.040369 , 0.031825 , 0.038019 , 0.053529 , 0.042699 , 0.016476 , 0.032244 , 0.044072 , 0.037557 , 0.03277 , 0.047518 , 0.042409 , 0.039092 , 0.030956 , 0.038824 , 0.087458 , 0.058198 , 0.045232 , 0.056148 , 0.035593 , 0.024516 , 0.019084 , 0.020695 , 0.029088 , 0.026147 , 0.0635 , 0.046767 , 0.048312 , 0.041389 , 0.035818 , 0.049611 , 0.034036 , 0.038577 , 0.038695 , 0.03175 
 500 , 0.030534 , 0.050365 , 0.023324 , 0.037659 , 0.030941 , 0.032977 , 0.052422 , 0.049347 , 0.030748 , 0.054758 , 0.08092 , 0.038483 , 0.041183 , 0.029109 , 0.049904 , 0.033705 , 0.048415 , 0.026152 , 0.023624 , 0.029505 , 0.044065 , 0.038933 , 0.061625 , 0.050858 , 0.036759 , 0.032548 , 0.025873 , 0.050022 , 0.035098 , 0.027556 , 0.039201 , 0.043765 , 0.033212 , 0.038644 , 0.046369 , 0.049572 , 0.035205 , 0.029613 , 0.040348 , 0.047772 , 0.03648 , 0.030973 , 0.029559 , 0.028691 , 0.046294 , 0.017763 , 0.026141 , 0.023045 , 0.0566 , 0.031498 , 0.023045 , 0.038173 , 0.023431 , 0.049829 , 0.029966 , 0.032655 , 0.038848 , 0.045962 , 0.035259 , 0.05374 , 0.04068 , 0.032087 , 0.03828 , 0.053815 , 0.042983 , 0.016638 , 0.032452 , 0.044301 , 0.037723 , 0.032966 , 0.04789 , 0.042705 , 0.039351 , 0.031134 , 0.039137 , 0.087948 , 0.058518 , 0.045522 , 0.056482 , 0.035859 , 0.024663 , 0.01921 , 0.020849 , 0.029259 , 0.026356 , 0.063928 , 0.047097 , 0.048629 , 0.041633 , 0.036041 , 0.049883 , 0.034262 , 0.038837 , 0.038987 , 0.03197 
 501 , 0.030772 , 0.050777 , 0.023512 , 0.037904 , 0.031168 , 0.033285 , 0.052723 , 0.049751 , 0.030922 , 0.055107 , 0.081378 , 0.038759 , 0.0414 , 0.02935 , 0.050253 , 0.033926 , 0.048724 , 0.026442 , 0.023876 , 0.02981 , 0.044148 , 0.039133 , 0.062036 , 0.051141 , 0.037027 , 0.032846 , 0.026121 , 0.050371 , 0.035338 , 0.027789 , 0.039593 , 0.044105 , 0.033434 , 0.038909 , 0.046628 , 0.049943 , 0.035541 , 0.029863 , 0.040641 , 0.048093 , 0.036738 , 0.031146 , 0.029799 , 0.028944 , 0.046682 , 0.017931 , 0.026442 , 0.023159 , 0.056861 , 0.031606 , 0.023181 , 0.038342 , 0.023619 , 0.050157 , 0.030163 , 0.032942 , 0.039197 , 0.04634 , 0.035498 , 0.054134 , 0.041047 , 0.032387 , 0.038599 , 0.054188 , 0.043314 , 0.01684 , 0.032707 , 0.044597 , 0.037936 , 0.03322 , 0.048307 , 0.043057 , 0.039625 , 0.031328 , 0.039507 , 0.08851 , 0.058903 , 0.045891 , 0.056904 , 0.036139 , 0.024881 , 0.019363 , 0.021064 , 0.029478 , 0.026645 , 0.064442 , 0.047462 , 0.049002 , 0.041903 , 0.036353 , 0.050146 , 0.034546 , 0.039155 , 0.039379 , 0.032226 
 502 , 0.03101 , 0.051189 , 0.02369 , 0.038149 , 0.031384 , 0.033592 , 0.053014 , 0.050143 , 0.031095 , 0.055436 , 0.081836 , 0.039035 , 0.041617 , 0.02958 , 0.050613 , 0.034147 , 0.049023 , 0.02672 , 0.024138 , 0.030103 , 0.044221 , 0.039323 , 0.062447 , 0.051413 , 0.037285 , 0.033134 , 0.026368 , 0.050709 , 0.035577 , 0.028012 , 0.039974 , 0.044445 , 0.033646 , 0.039152 , 0.046878 , 0.050314 , 0.035865 , 0.030103 , 0.040934 , 0.048404 , 0.036986 , 0.03132 , 0.030039 , 0.029196 , 0.04707 , 0.018087 , 0.026731 , 0.023263 , 0.057112 , 0.031714 , 0.023306 , 0.038512 , 0.023796 , 0.050485 , 0.030348 , 0.03323 , 0.039547 , 0.046707 , 0.035716 , 0.054508 , 0.041404 , 0.032685 , 0.038896 , 0.05455 , 0.043634 , 0.017042 , 0.032963 , 0.044893 , 0.038149 , 0.033475 , 0.048713 , 0.04341 , 0.039899 , 0.031522 , 0.039878 , 0.089061 , 0.059278 , 0.046259 , 0.057314 , 0.036431 , 0.025088 , 0.019517 , 0.021267 , 0.029698 , 0.026934 , 0.064944 , 0.047828 , 0.049364 , 0.042151 , 0.036655 , 0.050421 , 0.03483 , 0.039462 , 0.039782 , 0.032472 
 503 , 0.031237 , 0.05159 , 0.023867 , 0.038384 , 0.031599 , 0.0339 , 0.053315 , 0.050525 , 0.031259 , 0.055775 , 0.082284 , 0.039299 , 0.041824 , 0.029821 , 0.050962 , 0.034368 , 0.049321 , 0.026998 , 0.024378 , 0.030396 , 0.044294 , 0.039512 , 0.062847 , 0.051675 , 0.037542 , 0.033421 , 0.026615 , 0.051047 , 0.035817 , 0.028234 , 0.040354 , 0.044774 , 0.033857 , 0.039406 , 0.047138 , 0.050674 , 0.03619 , 0.030343 , 0.041227 , 0.048714 , 0.037233 , 0.031493 , 0.030268 , 0.029437 , 0.047458 , 0.018244 , 0.02703 , 0.023367 , 0.057362 , 0.031823 , 0.023441 , 0.038682 , 0.023974 , 0.050802 , 0.030545 , 0.033506 , 0.039896 , 0.047074 , 0.035945 , 0.054891 , 0.04177 , 0.032984 , 0.039204 , 0.054913 , 0.043943 , 0.017232 , 0.033218 , 0.045189 , 0.038362 , 0.033719 , 0.049119 , 0.043751 , 0.040173 , 0.031716 , 0.040247 , 0.089611 , 0.059641 , 0.046616 , 0.057724 , 0.036701 , 0.025294 , 0.019671 , 0.021471 , 0.029917 , 0.027211 , 0.065435 , 0.048182 , 0.049715 , 0.042409 , 0.036956 , 0.050674 , 0.035103 , 0.039779 , 0.040173 , 0.032718 
 504 , 0.031593 , 0.052114 , 0.024141 , 0.038695 , 0.031912 , 0.034247 , 0.053738 , 0.050915 , 0.031498 , 0.056212 , 0.082773 , 0.03963 , 0.042124 , 0.030139 , 0.051414 , 0.034672 , 0.049683 , 0.027389 , 0.02465 , 0.030797 , 0.044396 , 0.039725 , 0.063314 , 0.051997 , 0.037867 , 0.03377 , 0.026954 , 0.051435 , 0.036158 , 0.028547 , 0.040829 , 0.045139 , 0.034131 , 0.039704 , 0.047475 , 0.051127 , 0.036562 , 0.030649 , 0.041551 , 0.04911 , 0.037538 , 0.031657 , 0.030542 , 0.029714 , 0.047974 , 0.01844 , 0.027474 , 0.023525 , 0.057719 , 0.031997 , 0.02361 , 0.03895 , 0.024236 , 0.051201 , 0.030808 , 0.033886 , 0.040373 , 0.047517 , 0.036222 , 0.055384 , 0.042252 , 0.033387 , 0.039608 , 0.055373 , 0.044343 , 0.017495 , 0.03361 , 0.045564 , 0.038621 , 0.034056 , 0.049704 , 0.044131 , 0.040543 , 0.031965 , 0.040744 , 0.090247 , 0.060076 , 0.047125 , 0.058187 , 0.037082 , 0.025574 , 0.019894 , 0.021763 , 0.030213 , 0.027602 , 0.066064 , 0.048653 , 0.050171 , 0.042751 , 0.037326 , 0.051031 , 0.035436 , 0.040171 , 0.040649 , 0.033016 
 505 , 0.031961 , 0.052648 , 0.024424 , 0.039012 , 0.032236 , 0.034608 , 0.054172 , 0.051303 , 0.031749 , 0.05666 , 0.083254 , 0.039965 , 0.042431 , 0.030458 , 0.051875 , 0.034968 , 0.050064 , 0.02779 , 0.024921 , 0.031199 , 0.044496 , 0.039944 , 0.063785 , 0.052319 , 0.038207 , 0.034142 , 0.027303 , 0.051822 , 0.036514 , 0.02887 , 0.04132 , 0.045512 , 0.034396 , 0.040007 , 0.04782 , 0.051589 , 0.036937 , 0.030945 , 0.041881 , 0.049514 , 0.037847 , 0.031834 , 0.030818 , 0.029992 , 0.048498 , 0.018633 , 0.027938 , 0.023682 , 0.058079 , 0.032184 , 0.023788 , 0.039234 , 0.024498 , 0.05161 , 0.031083 , 0.034269 , 0.040865 , 0.047968 , 0.036514 , 0.055887 , 0.042738 , 0.033793 , 0.040028 , 0.055845 , 0.044739 , 0.017764 , 0.034004 , 0.045946 , 0.038874 , 0.034396 , 0.050297 , 0.044496 , 0.040918 , 0.032226 , 0.041256 , 0.090887 , 0.060503 , 0.04764 , 0.058661 , 0.037466 , 0.025853 , 0.020115 , 0.022063 , 0.030521 , 0.028012 , 0.066696 , 0.049122 , 0.050636 , 0.043098 , 0.037689 , 0.051398 , 0.035762 , 0.040568 , 0.041119 , 0.033327 
 506 , 0.032318 , 0.05318 , 0.024706 , 0.039328 , 0.03255 , 0.034968 , 0.054606 , 0.051681 , 0.031991 , 0.057097 , 0.083735 , 0.040289 , 0.042728 , 0.030776 , 0.052336 , 0.035263 , 0.050425 , 0.02819 , 0.025191 , 0.0316 , 0.044597 , 0.040152 , 0.064245 , 0.052631 , 0.038526 , 0.034493 , 0.027651 , 0.052209 , 0.036858 , 0.029182 , 0.041799 , 0.045874 , 0.034662 , 0.04031 , 0.048165 , 0.05204 , 0.037301 , 0.031241 , 0.0422 , 0.049918 , 0.038156 , 0.031991 , 0.031093 , 0.030259 , 0.04902 , 0.018825 , 0.02839 , 0.02385 , 0.058438 , 0.032371 , 0.023966 , 0.039508 , 0.024748 , 0.052008 , 0.031357 , 0.034641 , 0.041345 , 0.048419 , 0.036794 , 0.05639 , 0.043224 , 0.034187 , 0.040437 , 0.056305 , 0.045146 , 0.018022 , 0.034398 , 0.046328 , 0.039128 , 0.034725 , 0.050889 , 0.044871 , 0.041292 , 0.032487 , 0.041746 , 0.091516 , 0.060919 , 0.048155 , 0.059124 , 0.03784 , 0.026131 , 0.020335 , 0.022351 , 0.030819 , 0.028401 , 0.067317 , 0.04958 , 0.05109 , 0.043435 , 0.038051 , 0.051755 , 0.036087 , 0.040965 , 0.041598 , 0.033627 
 507 , 0.032721 , 0.053769 , 0.02501 , 0.039695 , 0.032911 , 0.035365 , 0.055055 , 0.052105 , 0.0323 , 0.057562 , 0.084257 , 0.040664 , 0.043045 , 0.03112 , 0.052832 , 0.035597 , 0.05083 , 0.028665 , 0.025515 , 0.032068 , 0.044699 , 0.04038 , 0.064757 , 0.052969 , 0.038905 , 0.034891 , 0.028044 , 0.052653 , 0.037209 , 0.029529 , 0.04235 , 0.0463 , 0.034975 , 0.040622 , 0.048555 , 0.052547 , 0.037725 , 0.031562 , 0.042571 , 0.050356 , 0.038505 , 0.032205 , 0.031394 , 0.030582 , 0.049587 , 0.019057 , 0.028907 , 0.024009 , 0.058858 , 0.032584 , 0.024167 , 0.039821 , 0.025041 , 0.052463 , 0.031678 , 0.03507 , 0.041865 , 0.048913 , 0.037103 , 0.056898 , 0.043772 , 0.034659 , 0.040896 , 0.056782 , 0.045605 , 0.018309 , 0.034849 , 0.046764 , 0.039432 , 0.035091 , 0.051536 , 0.045278 , 0.041686 , 0.032763 , 0.042308 , 0.09219 , 0.061397 , 0.048671 , 0.059648 , 0.038252 , 0.026453 , 0.020595 , 0.022702 , 0.031162 , 0.028855 , 0.068002 , 0.050114 , 0.05161 , 0.043835 , 0.038462 , 0.052126 , 0.036461 , 0.041391 , 0.042129 , 0.033975 
 508 , 0.033168 , 0.054425 , 0.025346 , 0.040127 , 0.033305 , 0.035817 , 0.055497 , 0.052564 , 0.032653 , 0.058062 , 0.084828 , 0.041073 , 0.043376 , 0.031486 , 0.053384 , 0.035954 , 0.051281 , 0.029205 , 0.025904 , 0.03259 , 0.044784 , 0.040621 , 0.065316 , 0.053321 , 0.039318 , 0.035333 , 0.02849 , 0.053153 , 0.037562 , 0.029898 , 0.042966 , 0.046792 , 0.035333 , 0.040947 , 0.048979 , 0.0531 , 0.038193 , 0.031906 , 0.042987 , 0.050829 , 0.038897 , 0.032442 , 0.031717 , 0.030939 , 0.050209 , 0.019312 , 0.029488 , 0.024179 , 0.059334 , 0.032821 , 0.024411 , 0.040169 , 0.025367 , 0.052995 , 0.032054 , 0.035544 , 0.04243 , 0.049452 , 0.037468 , 0.057421 , 0.044374 , 0.035186 , 0.041399 , 0.057295 , 0.04612 , 0.018629 , 0.035355 , 0.047255 , 0.03977 , 0.035481 , 0.052217 , 0.045741 , 0.042104 , 0.033073 , 0.042924 , 0.092902 , 0.06192 , 0.0492 , 0.060207 , 0.038687 , 0.026829 , 0.020899 , 0.023097 , 0.031538 , 0.029352 , 0.068764 , 0.050714 , 0.052186 , 0.044269 , 0.038929 , 0.052501 , 0.036868 , 0.041862 , 0.042735 , 0.034377 
 509 , 0.033603 , 0.055079 , 0.025672 , 0.040549 , 0.033687 , 0.036258 , 0.05595 , 0.053023 , 0.033005 , 0.058562 , 0.085388 , 0.041482 , 0.043696 , 0.031851 , 0.053925 , 0.03631 , 0.051722 , 0.029743 , 0.026291 , 0.03311 , 0.044871 , 0.040853 , 0.065853 , 0.053673 , 0.03973 , 0.035765 , 0.028935 , 0.053642 , 0.037915 , 0.030267 , 0.04357 , 0.047273 , 0.035691 , 0.041272 , 0.049414 , 0.053642 , 0.03866 , 0.03224 , 0.043392 , 0.051302 , 0.03929 , 0.03268 , 0.03204 , 0.031306 , 0.050809 , 0.019566 , 0.030068 , 0.02435 , 0.059789 , 0.033058 , 0.024644 , 0.040507 , 0.025683 , 0.053505 , 0.032418 , 0.036016 , 0.042983 , 0.049991 , 0.037821 , 0.057943 , 0.044976 , 0.035712 , 0.041891 , 0.057786 , 0.046633 , 0.018937 , 0.035848 , 0.047746 , 0.040097 , 0.035869 , 0.052897 , 0.046182 , 0.0425 , 0.033373 , 0.043528 , 0.093603 , 0.062444 , 0.049718 , 0.060755 , 0.039111 , 0.027204 , 0.021192 , 0.02349 , 0.031904 , 0.029848 , 0.069504 , 0.051302 , 0.05276 , 0.044703 , 0.039395 , 0.052865 , 0.037275 , 0.042322 , 0.043318 , 0.034768 
 510 , 0.034061 , 0.055734 , 0.026002 , 0.040967 , 0.034082 , 0.036712 , 0.056405 , 0.053502 , 0.033348 , 0.059067 , 0.085949 , 0.0419 , 0.044038 , 0.032227 , 0.054476 , 0.03667 , 0.052181 , 0.030298 , 0.026683 , 0.033652 , 0.044971 , 0.041093 , 0.066413 , 0.054047 , 0.04015 , 0.036209 , 0.029397 , 0.054141 , 0.038284 , 0.030644 , 0.044185 , 0.047769 , 0.036052 , 0.041607 , 0.049834 , 0.054204 , 0.039144 , 0.032594 , 0.043808 , 0.051783 , 0.039689 , 0.032929 , 0.032363 , 0.031671 , 0.051437 , 0.019829 , 0.030655 , 0.024534 , 0.060283 , 0.033296 , 0.02488 , 0.040863 , 0.026023 , 0.054036 , 0.032803 , 0.036503 , 0.043566 , 0.050546 , 0.03818 , 0.058469 , 0.045589 , 0.036241 , 0.042393 , 0.058302 , 0.047151 , 0.019273 , 0.036367 , 0.04823 , 0.040454 , 0.036283 , 0.053586 , 0.046648 , 0.042917 , 0.033673 , 0.044153 , 0.094301 , 0.062976 , 0.050253 , 0.06132 , 0.039553 , 0.027584 , 0.021485 , 0.023905 , 0.03229 , 0.030351 , 0.07027 , 0.051898 , 0.053334 , 0.045149 , 0.039867 , 0.05324 , 0.037698 , 0.042791 , 0.043933 , 0.035172 
 511 , 0.034578 , 0.056505 , 0.026403 , 0.04138 , 0.034557 , 0.037261 , 0.056977 , 0.054136 , 0.033708 , 0.059681 , 0.086513 , 0.042355 , 0.044451 , 0.032723 , 0.055153 , 0.037104 , 0.052774 , 0.030972 , 0.027199 , 0.034358 , 0.045164 , 0.04137 , 0.067049 , 0.054545 , 0.04072 , 0.036748 , 0.029977 , 0.054723 , 0.038802 , 0.03113 , 0.044902 , 0.048351 , 0.036423 , 0.042051 , 0.050311 , 0.054891 , 0.039724 , 0.033058 , 0.044305 , 0.052365 , 0.040186 , 0.033226 , 0.032744 , 0.032125 , 0.052218 , 0.020198 , 0.031444 , 0.024778 , 0.060907 , 0.033593 , 0.025176 , 0.041276 , 0.026465 , 0.054671 , 0.033289 , 0.037094 , 0.044305 , 0.051233 , 0.038624 , 0.059125 , 0.046317 , 0.036884 , 0.042984 , 0.058958 , 0.047711 , 0.019726 , 0.03702 , 0.048812 , 0.040877 , 0.036811 , 0.05443 , 0.04725 , 0.043445 , 0.034075 , 0.044923 , 0.095076 , 0.06359 , 0.05096 , 0.061955 , 0.04007 , 0.028059 , 0.021843 , 0.024474 , 0.032807 , 0.031004 , 0.0712 , 0.052616 , 0.05401 , 0.045667 , 0.040427 , 0.053696 , 0.038257 , 0.043393 , 0.044693 , 0.035679 
 512 , 0.035113 , 0.057285 , 0.026793 , 0.041787 , 0.035018 , 0.037816 , 0.057547 , 0.05477 , 0.034054 , 0.060292 , 0.087085 , 0.042825 , 0.044857 , 0.033216 , 0.055828 , 0.037533 , 0.053355 , 0.031644 , 0.027705 , 0.03506 , 0.04536 , 0.041641 , 0.06769 , 0.055042 , 0.041274 , 0.037282 , 0.030544 , 0.055315 , 0.039325 , 0.031613 , 0.045612 , 0.048934 , 0.036789 , 0.042489 , 0.050788 , 0.055587 , 0.04031 , 0.03353 , 0.044795 , 0.052936 , 0.040687 , 0.03353 , 0.033122 , 0.032577 , 0.052999 , 0.020558 , 0.032221 , 0.025033 , 0.061539 , 0.033897 , 0.025462 , 0.041683 , 0.026898 , 0.055304 , 0.033771 , 0.03768 , 0.045036 , 0.05192 , 0.039063 , 0.059768 , 0.047058 , 0.037533 , 0.043569 , 0.059611 , 0.048284 , 0.020181 , 0.03768 , 0.049395 , 0.041316 , 0.037334 , 0.055273 , 0.047833 , 0.043977 , 0.034463 , 0.045685 , 0.095855 , 0.064211 , 0.051658 , 0.062587 , 0.040582 , 0.028522 , 0.022203 , 0.025054 , 0.03331 , 0.031644 , 0.072122 , 0.053324 , 0.054686 , 0.046188 , 0.040991 , 0.054141 , 0.038812 , 0.043988 , 0.045444 , 0.036192 
 513 , 0.035637 , 0.058053 , 0.027183 , 0.042194 , 0.03549 , 0.03836 , 0.058116 , 0.055393 , 0.034411 , 0.060892 , 0.087656 , 0.043283 , 0.045274 , 0.033709 , 0.056493 , 0.037962 , 0.053937 , 0.032305 , 0.02822 , 0.035773 , 0.045546 , 0.041911 , 0.068319 , 0.055539 , 0.041838 , 0.037826 , 0.031122 , 0.055896 , 0.039837 , 0.032096 , 0.046332 , 0.049516 , 0.037155 , 0.042927 , 0.051266 , 0.056283 , 0.040885 , 0.033992 , 0.045284 , 0.053518 , 0.041188 , 0.033835 , 0.0335 , 0.033028 , 0.05378 , 0.020919 , 0.032997 , 0.025287 , 0.062181 , 0.034191 , 0.025748 , 0.042089 , 0.02734 , 0.055937 , 0.034254 , 0.038266 , 0.045777 , 0.052606 , 0.039502 , 0.06041 , 0.047788 , 0.038172 , 0.044153 , 0.060264 , 0.048846 , 0.020636 , 0.038329 , 0.049967 , 0.041744 , 0.037857 , 0.056116 , 0.048427 , 0.044499 , 0.034851 , 0.046457 , 0.096623 , 0.064831 , 0.052355 , 0.063228 , 0.041105 , 0.028985 , 0.022564 , 0.025622 , 0.033824 , 0.032284 , 0.073033 , 0.054031 , 0.055361 , 0.046709 , 0.041555 , 0.054597 , 0.039366 , 0.044593 , 0.046206 , 0.036695 
 514 , 0.0362 , 0.058917 , 0.027635 , 0.042689 , 0.036042 , 0.038936 , 0.058729 , 0.056003 , 0.034837 , 0.061538 , 0.08824 , 0.043779 , 0.045708 , 0.034239 , 0.057198 , 0.038464 , 0.054577 , 0.033138 , 0.028756 , 0.036535 , 0.045656 , 0.042165 , 0.069023 , 0.056034 , 0.042427 , 0.038422 , 0.031786 , 0.056496 , 0.040372 , 0.032625 , 0.047155 , 0.050153 , 0.037583 , 0.043391 , 0.051799 , 0.056999 , 0.041473 , 0.034459 , 0.045792 , 0.054126 , 0.041703 , 0.034124 , 0.033893 , 0.033537 , 0.05464 , 0.021261 , 0.033883 , 0.025538 , 0.062828 , 0.03447 , 0.026051 , 0.042532 , 0.027781 , 0.056642 , 0.034774 , 0.038915 , 0.04661 , 0.053361 , 0.039963 , 0.061077 , 0.048622 , 0.038904 , 0.044817 , 0.06093 , 0.049503 , 0.021103 , 0.039124 , 0.050656 , 0.042175 , 0.038391 , 0.057083 , 0.049073 , 0.0451 , 0.035277 , 0.047291 , 0.097455 , 0.065501 , 0.053109 , 0.063928 , 0.04164 , 0.029522 , 0.02298 , 0.026282 , 0.034396 , 0.033013 , 0.074066 , 0.05485 , 0.056118 , 0.04726 , 0.042207 , 0.055091 , 0.039974 , 0.045205 , 0.047039 , 0.037227 
 515 , 0.036781 , 0.059804 , 0.028092 , 0.043214 , 0.036602 , 0.039509 , 0.059374 , 0.056604 , 0.03528 , 0.062176 , 0.08883 , 0.044294 , 0.046141 , 0.034787 , 0.057905 , 0.038964 , 0.055239 , 0.03401 , 0.029309 , 0.037316 , 0.045743 , 0.042395 , 0.069742 , 0.05653 , 0.043035 , 0.039027 , 0.032478 , 0.057097 , 0.040905 , 0.03315 , 0.047999 , 0.05079 , 0.038019 , 0.043854 , 0.052343 , 0.057706 , 0.042059 , 0.034913 , 0.046299 , 0.054725 , 0.042227 , 0.034409 , 0.034273 , 0.034042 , 0.055502 , 0.021607 , 0.034798 , 0.025783 , 0.063488 , 0.034735 , 0.026339 , 0.042993 , 0.028239 , 0.057359 , 0.035312 , 0.039583 , 0.047464 , 0.054127 , 0.040422 , 0.061735 , 0.049478 , 0.039667 , 0.045501 , 0.061599 , 0.050192 , 0.021565 , 0.03995 , 0.051357 , 0.042615 , 0.038922 , 0.058073 , 0.049741 , 0.045732 , 0.0357 , 0.048135 , 0.098296 , 0.066174 , 0.053875 , 0.064642 , 0.042175 , 0.030065 , 0.023401 , 0.026948 , 0.034986 , 0.033759 , 0.075125 , 0.05568 , 0.056897 , 0.04781 , 0.042888 , 0.055586 , 0.04059 , 0.045827 , 0.047883 , 0.037757 
 516 , 0.037363 , 0.060693 , 0.02855 , 0.043739 , 0.037163 , 0.040084 , 0.06001 , 0.057205 , 0.035724 , 0.062814 , 0.089411 , 0.04481 , 0.046565 , 0.035336 , 0.058613 , 0.039474 , 0.055903 , 0.034874 , 0.029853 , 0.038088 , 0.045829 , 0.042626 , 0.070461 , 0.057027 , 0.043634 , 0.039642 , 0.033172 , 0.057699 , 0.041439 , 0.033687 , 0.048844 , 0.051428 , 0.038455 , 0.044317 , 0.052888 , 0.058413 , 0.042647 , 0.035367 , 0.046806 , 0.055335 , 0.042752 , 0.034695 , 0.034653 , 0.034548 , 0.056365 , 0.021943 , 0.035703 , 0.026029 , 0.064138 , 0.035 , 0.026638 , 0.043445 , 0.028687 , 0.058077 , 0.03584 , 0.040252 , 0.048319 , 0.054894 , 0.040882 , 0.062394 , 0.050335 , 0.04043 , 0.046186 , 0.062258 , 0.050871 , 0.022038 , 0.040777 , 0.052069 , 0.043056 , 0.039453 , 0.059054 , 0.050399 , 0.046354 , 0.036123 , 0.04898 , 0.099127 , 0.066858 , 0.054632 , 0.065346 , 0.04271 , 0.030619 , 0.023834 , 0.027626 , 0.035567 , 0.034495 , 0.076176 , 0.056512 , 0.057678 , 0.048361 , 0.04356 , 0.056092 , 0.041207 , 0.046449 , 0.048739 , 0.038298 
