MAY26LOF00011.spu,MAY26LOF00010.spu,MAY26LOF00009.spu,
Wavelength,MAY26LOF00027.spu,MAY26LOF00028.spu,MAY26LOF00029.spu,MAY26LOF00030.spu,MAY26LOF00031.spu,MAY26LOF00032.spu,MAY26LOF00033.spu,MAY26LOF00034.spu,MAY26LOF00035.spu,MAY26LOF00036.spu,MAY26LOF00037.spu,MAY26LOF00038.spu,MAY26LOF00039.spu,MAY26LOF00040.spu,MAY26LOF00041.spu,MAY26LOF00042.spu,MAY26LOF00043.spu,MAY26LOF00044.spu,MAY26LOF00045.spu,MAY26LOF00046.spu,MAY26LOF00047.spu,MAY26LOF00048.spu,MAY26LOF00049.spu,MAY26LOF00050.spu,MAY26LOF00051.spu,MAY26LOF00052.spu,MAY26LOF00053.spu,MAY26LOF00054.spu,MAY26LOF00055.spu,MAY26LOF00056.spu,MAY26LOF00057.spu,MAY26LOF00058.spu,MAY26LOF00059.spu,MAY26LOF00060.spu,MAY26LOF00061.spu,MAY26LOF00062.spu,MAY26LOF00063.spu,MAY26LOF00064.spu,MAY26LOF00065.spu,MAY26LOF00066.spu,MAY26LOF00067.spu,MAY26LOF00068.spu,MAY26LOF00069.spu,MAY26LOF00070.spu,MAY26LOF00071.spu,MAY26LOF00072.spu,MAY26LOF00073.spu,MAY26LOF00074.spu,MAY26LOF00075.spu,MAY26LOF00076.spu,MAY26LOF00077.spu,MAY26LOF00078.spu,MAY26LOF00079.spu,MAY26LOF00080.spu,MAY26LOF00081.spu,MAY26LOF00082.spu,MAY26LOF00083.spu,MAY26LOF00084.spu,MAY26LOF00085.spu,MAY26LOF00086.spu,MAY26LOF00087.spu,MAY26LOF00088.spu,MAY26LOF00089.spu,MAY26LOF00090.spu,MAY26LOF00091.spu,MAY26LOF00092.spu,MAY26LOF00093.spu,MAY26LOF00094.spu,MAY26LOF00095.spu,MAY26LOF00096.spu,MAY26LOF00097.spu,MAY26LOF00098.spu,MAY26LOF00099.spu,MAY26LOF00100.spu,MAY26LOF00101.spu,MAY26LOF00102.spu,MAY26LOF00103.spu,MAY26LOF00104.spu,MAY26LOF00105.spu,MAY26LOF00106.spu,MAY26LOF00107.spu,MAY26LOF00108.spu,MAY26LOF00109.spu,MAY26LOF00110.spu,MAY26LOF00111.spu,MAY26LOF00112.spu,MAY26LOF00113.spu,MAY26LOF00114.spu,MAY26LOF00115.spu,MAY26LOF00116.spu,MAY26LOF00117.spu,MAY26LOF00118.spu,MAY26LOF00119.spu,MAY26LOF00120.spu,MAY26LOF00121.spu,MAY26LOF00122.spu,MAY26LOF00123.spu,MAY26LOF00124.spu,MAY26LOF00125.spu,MAY26LOF00126.spu
 424 , 0.04744 , 0.029496 , 0.039227 , 0.041273 , 0.03653 , 0.038834 , 0.041712 , 0.039417 , 0.035448 , 0.034526 , 0.038656 , 0.043479 , 0.042448 , 0.036652 , 0.040985 , 0.031867 , 0.031403 , 0.02841 , 0.030498 , 0.031931 , 0.026837 , 0.025561 , 0.02157 , 0.027167 , 0.030532 , 0.024863 , 0.029822 , 0.023363 , 0.027374 , 0.03248 , 0.031162 , 0.03155 , 0.028503 , 0.030498 , 0.031736 , 0.035169 , 0.042646 , 0.02748 , 0.031787 , 0.035739 , 0.036035 , 0.04886 , 0.043957 , 0.044625 , 0.033947 , 0.045576 , 0.041573 , 0.02882 , 0.026926 , 0.031762 , 0.034687 , 0.028093 , 0.030257 , 0.026787 , 0.024961 , 0.02778 , 0.026199 , 0.028828 , 0.026706 , 0.024901 , 0.030215 , 0.02718 , 0.043373 , 0.033998 , 0.031906 , 0.061698 , 0.047174 , 0.057838 , 0.050648 , 0.044802 , 0.035934 , 0.03459 , 0.04681 , 0.028832 , 0.026212 , 0.027192 , 0.033681 , 0.032404 , 0.045064 , 0.029352 , 0.025261 , 0.029877 , 0.025307 , 0.029327 , 0.030012 , 0.047668 , 0.038994 , 0.038039 , 0.028579 , 0.036754 , 0.034924 , 0.045284 , 0.047089 , 0.050154 , 0.058654 , 0.031204 , 0.039988 , 0.021976 , 0.025227 , 0.02745 
 425 , 0.047922 , 0.029854 , 0.039714 , 0.041635 , 0.036868 , 0.039255 , 0.042166 , 0.039854 , 0.035801 , 0.034888 , 0.039051 , 0.043941 , 0.042977 , 0.037029 , 0.041443 , 0.032161 , 0.031689 , 0.028711 , 0.030835 , 0.03219 , 0.02702 , 0.025856 , 0.021816 , 0.027453 , 0.030856 , 0.025117 , 0.0301 , 0.023681 , 0.02767 , 0.032832 , 0.031498 , 0.031842 , 0.028804 , 0.030839 , 0.032139 , 0.035576 , 0.043062 , 0.027768 , 0.03205 , 0.036175 , 0.036349 , 0.049418 , 0.044383 , 0.045054 , 0.034357 , 0.045993 , 0.042055 , 0.02925 , 0.027317 , 0.032203 , 0.035164 , 0.028503 , 0.030567 , 0.02713 , 0.025291 , 0.028078 , 0.026485 , 0.029127 , 0.026943 , 0.025189 , 0.030593 , 0.027496 , 0.043814 , 0.034382 , 0.032254 , 0.062465 , 0.047727 , 0.058475 , 0.051189 , 0.045207 , 0.036349 , 0.034973 , 0.047136 , 0.029272 , 0.026523 , 0.027547 , 0.03406 , 0.032815 , 0.045632 , 0.029705 , 0.02558 , 0.030283 , 0.025597 , 0.029705 , 0.030406 , 0.048313 , 0.039506 , 0.038542 , 0.028983 , 0.037259 , 0.035479 , 0.045785 , 0.047663 , 0.050858 , 0.059508 , 0.031655 , 0.04047 , 0.022351 , 0.025609 , 0.027916 
 426 , 0.048377 , 0.030195 , 0.040174 , 0.041989 , 0.037194 , 0.039666 , 0.042604 , 0.040277 , 0.036148 , 0.035229 , 0.039431 , 0.044381 , 0.043479 , 0.037403 , 0.041887 , 0.032445 , 0.031967 , 0.028995 , 0.031156 , 0.032445 , 0.027206 , 0.026134 , 0.022047 , 0.027714 , 0.031164 , 0.025357 , 0.030366 , 0.02396 , 0.027953 , 0.033154 , 0.031826 , 0.032108 , 0.029089 , 0.031156 , 0.032514 , 0.035943 , 0.043458 , 0.028038 , 0.032309 , 0.03657 , 0.03666 , 0.049945 , 0.044803 , 0.045478 , 0.034726 , 0.046396 , 0.042532 , 0.029623 , 0.02768 , 0.03259 , 0.035597 , 0.028854 , 0.03087 , 0.027453 , 0.025591 , 0.028359 , 0.026744 , 0.029422 , 0.027176 , 0.025451 , 0.030946 , 0.027786 , 0.044248 , 0.034743 , 0.032582 , 0.063195 , 0.048262 , 0.059079 , 0.051708 , 0.045585 , 0.03672 , 0.035319 , 0.047434 , 0.029657 , 0.026821 , 0.027863 , 0.03441 , 0.033188 , 0.046174 , 0.030015 , 0.025865 , 0.030652 , 0.025869 , 0.030045 , 0.030776 , 0.048916 , 0.039969 , 0.038996 , 0.029358 , 0.037745 , 0.03599 , 0.046281 , 0.048224 , 0.051525 , 0.060296 , 0.032074 , 0.040879 , 0.022666 , 0.025933 , 0.028312 
 427 , 0.048748 , 0.030459 , 0.040541 , 0.042324 , 0.037492 , 0.040009 , 0.042955 , 0.040656 , 0.036458 , 0.035481 , 0.03976 , 0.044722 , 0.04389 , 0.037783 , 0.04229 , 0.032659 , 0.0322 , 0.029211 , 0.031415 , 0.032685 , 0.027423 , 0.026334 , 0.022213 , 0.027895 , 0.031407 , 0.025536 , 0.030609 , 0.024052 , 0.028178 , 0.033384 , 0.032106 , 0.032269 , 0.029318 , 0.031381 , 0.032779 , 0.036141 , 0.043761 , 0.028233 , 0.032522 , 0.036801 , 0.036943 , 0.050352 , 0.045189 , 0.045888 , 0.034897 , 0.046716 , 0.042998 , 0.029739 , 0.027908 , 0.032732 , 0.035854 , 0.02895 , 0.031158 , 0.027672 , 0.025755 , 0.028577 , 0.026917 , 0.029696 , 0.02741 , 0.025588 , 0.031205 , 0.027976 , 0.044636 , 0.035017 , 0.032813 , 0.063778 , 0.048735 , 0.05955 , 0.052157 , 0.045841 , 0.036887 , 0.035498 , 0.04762 , 0.029782 , 0.027067 , 0.028019 , 0.034653 , 0.033405 , 0.046604 , 0.030172 , 0.025995 , 0.030849 , 0.026068 , 0.030206 , 0.031017 , 0.049297 , 0.040202 , 0.039241 , 0.029593 , 0.038152 , 0.036278 , 0.046767 , 0.048718 , 0.052093 , 0.060798 , 0.032354 , 0.040961 , 0.022732 , 0.025991 , 0.028409 
 428 , 0.04911 , 0.030724 , 0.040907 , 0.042656 , 0.037785 , 0.040352 , 0.043306 , 0.041032 , 0.036765 , 0.035731 , 0.040085 , 0.045063 , 0.0443 , 0.038164 , 0.04269 , 0.032877 , 0.032433 , 0.029427 , 0.031675 , 0.032924 , 0.02764 , 0.026538 , 0.022383 , 0.028071 , 0.031645 , 0.025716 , 0.030848 , 0.024148 , 0.028403 , 0.033604 , 0.032386 , 0.032433 , 0.029544 , 0.031602 , 0.03304 , 0.036339 , 0.044059 , 0.028433 , 0.032734 , 0.037028 , 0.037221 , 0.050755 , 0.045571 , 0.046294 , 0.035073 , 0.047039 , 0.043465 , 0.029849 , 0.028136 , 0.032868 , 0.036106 , 0.029048 , 0.031451 , 0.02789 , 0.025918 , 0.02879 , 0.027089 , 0.029966 , 0.02764 , 0.02572 , 0.031464 , 0.028161 , 0.045024 , 0.035292 , 0.033044 , 0.064358 , 0.049205 , 0.060022 , 0.052602 , 0.0461 , 0.037053 , 0.035675 , 0.04781 , 0.029901 , 0.027313 , 0.028179 , 0.034896 , 0.033622 , 0.047035 , 0.030323 , 0.026125 , 0.031051 , 0.026262 , 0.030362 , 0.031253 , 0.049679 , 0.040429 , 0.039482 , 0.029828 , 0.038561 , 0.036567 , 0.04725 , 0.049214 , 0.052654 , 0.061301 , 0.032631 , 0.041041 , 0.022792 , 0.026051 , 0.028502 
 429 , 0.049477 , 0.030988 , 0.04127 , 0.042987 , 0.038075 , 0.040691 , 0.043653 , 0.041404 , 0.037072 , 0.035982 , 0.040406 , 0.045399 , 0.044703 , 0.038542 , 0.043086 , 0.03309 , 0.032662 , 0.029644 , 0.031931 , 0.033163 , 0.027858 , 0.026738 , 0.022548 , 0.028247 , 0.031883 , 0.025895 , 0.031088 , 0.024239 , 0.028623 , 0.033829 , 0.032662 , 0.032592 , 0.029769 , 0.031823 , 0.033306 , 0.036536 , 0.044357 , 0.028632 , 0.032943 , 0.037258 , 0.037496 , 0.051154 , 0.045953 , 0.046697 , 0.035243 , 0.047358 , 0.043929 , 0.029964 , 0.02836 , 0.033008 , 0.036354 , 0.029146 , 0.031736 , 0.028109 , 0.026081 , 0.029004 , 0.027261 , 0.030236 , 0.027871 , 0.025856 , 0.031719 , 0.028351 , 0.045408 , 0.035563 , 0.033271 , 0.064934 , 0.049671 , 0.060489 , 0.053044 , 0.046355 , 0.037223 , 0.035848 , 0.047994 , 0.030024 , 0.02756 , 0.028334 , 0.035139 , 0.033833 , 0.047462 , 0.030478 , 0.026254 , 0.031248 , 0.026457 , 0.030521 , 0.031494 , 0.05006 , 0.040661 , 0.039722 , 0.030059 , 0.038966 , 0.036851 , 0.047734 , 0.049702 , 0.053217 , 0.061799 , 0.032912 , 0.041119 , 0.022855 , 0.026111 , 0.028593 
 430 , 0.050203 , 0.031421 , 0.041907 , 0.043563 , 0.038593 , 0.041322 , 0.044344 , 0.042051 , 0.037643 , 0.036531 , 0.041017 , 0.046062 , 0.045473 , 0.039151 , 0.043808 , 0.033536 , 0.033095 , 0.030031 , 0.032411 , 0.033606 , 0.028239 , 0.027114 , 0.022889 , 0.02864 , 0.032328 , 0.026211 , 0.0315 , 0.024611 , 0.029063 , 0.03429 , 0.033139 , 0.032995 , 0.030209 , 0.03235 , 0.033872 , 0.037063 , 0.04498 , 0.029058 , 0.033444 , 0.037808 , 0.038109 , 0.051974 , 0.046694 , 0.047413 , 0.035772 , 0.048111 , 0.044671 , 0.030458 , 0.028792 , 0.033579 , 0.036915 , 0.029568 , 0.032289 , 0.028566 , 0.026482 , 0.029416 , 0.027681 , 0.030741 , 0.028287 , 0.026181 , 0.032254 , 0.028784 , 0.046096 , 0.036121 , 0.033754 , 0.066003 , 0.050474 , 0.061443 , 0.053844 , 0.047134 , 0.037682 , 0.03633 , 0.048608 , 0.030453 , 0.028029 , 0.028784 , 0.035711 , 0.034329 , 0.048237 , 0.030876 , 0.026656 , 0.031726 , 0.026931 , 0.031033 , 0.032045 , 0.050875 , 0.041318 , 0.040398 , 0.030593 , 0.039618 , 0.037442 , 0.048521 , 0.050478 , 0.054193 , 0.062834 , 0.033427 , 0.041785 , 0.02322 , 0.026582 , 0.028984 
 431 , 0.051007 , 0.031897 , 0.042605 , 0.044195 , 0.039163 , 0.042019 , 0.045112 , 0.042759 , 0.038273 , 0.037145 , 0.041688 , 0.046795 , 0.046319 , 0.039811 , 0.044601 , 0.034034 , 0.033572 , 0.030452 , 0.032933 , 0.034087 , 0.028654 , 0.027526 , 0.023265 , 0.029082 , 0.032818 , 0.026561 , 0.03195 , 0.025045 , 0.029553 , 0.034801 , 0.033664 , 0.033453 , 0.030699 , 0.032942 , 0.034501 , 0.037661 , 0.045671 , 0.029535 , 0.034008 , 0.038436 , 0.038798 , 0.05288 , 0.047509 , 0.048196 , 0.036387 , 0.048958 , 0.045473 , 0.031038 , 0.029267 , 0.03425 , 0.037542 , 0.030069 , 0.032898 , 0.029082 , 0.02694 , 0.029875 , 0.028156 , 0.031298 , 0.028738 , 0.026548 , 0.032849 , 0.029271 , 0.046852 , 0.03674 , 0.034285 , 0.067183 , 0.051347 , 0.062499 , 0.054718 , 0.048029 , 0.038203 , 0.036881 , 0.04932 , 0.030954 , 0.028544 , 0.029298 , 0.036361 , 0.034889 , 0.049086 , 0.031329 , 0.027125 , 0.032267 , 0.027473 , 0.031628 , 0.032664 , 0.051787 , 0.042076 , 0.041164 , 0.031192 , 0.040322 , 0.038101 , 0.049373 , 0.051316 , 0.055251 , 0.063993 , 0.033999 , 0.042578 , 0.023653 , 0.027143 , 0.029443 
 432 , 0.051805 , 0.032363 , 0.043293 , 0.04482 , 0.039722 , 0.042709 , 0.045866 , 0.043457 , 0.038894 , 0.03775 , 0.042349 , 0.047518 , 0.047157 , 0.040461 , 0.045381 , 0.034526 , 0.034046 , 0.030867 , 0.033453 , 0.034566 , 0.029064 , 0.027933 , 0.023641 , 0.029513 , 0.033298 , 0.026904 , 0.032394 , 0.025475 , 0.030034 , 0.03531 , 0.034175 , 0.033908 , 0.031183 , 0.033525 , 0.035127 , 0.038257 , 0.046351 , 0.030007 , 0.034562 , 0.039054 , 0.039473 , 0.053777 , 0.048315 , 0.048974 , 0.036988 , 0.049797 , 0.046267 , 0.031615 , 0.029736 , 0.034914 , 0.038164 , 0.030564 , 0.033493 , 0.029589 , 0.02739 , 0.030324 , 0.028627 , 0.031842 , 0.029188 , 0.026909 , 0.03344 , 0.029754 , 0.047593 , 0.037349 , 0.034811 , 0.068345 , 0.05221 , 0.063545 , 0.055585 , 0.048916 , 0.03872 , 0.03742 , 0.05002 , 0.03145 , 0.029055 , 0.029807 , 0.036997 , 0.035444 , 0.049922 , 0.031775 , 0.027585 , 0.032803 , 0.028008 , 0.032216 , 0.03328 , 0.052687 , 0.042821 , 0.041926 , 0.031788 , 0.041018 , 0.038756 , 0.05022 , 0.052148 , 0.056302 , 0.065139 , 0.034562 , 0.043368 , 0.024077 , 0.027697 , 0.029896 
 433 , 0.052822 , 0.032992 , 0.044194 , 0.045635 , 0.040445 , 0.043589 , 0.04681 , 0.044348 , 0.039673 , 0.038485 , 0.043201 , 0.048454 , 0.048178 , 0.041267 , 0.046326 , 0.035151 , 0.034677 , 0.031434 , 0.034103 , 0.035206 , 0.029582 , 0.028453 , 0.024094 , 0.030056 , 0.033918 , 0.027332 , 0.032965 , 0.025982 , 0.03063 , 0.03596 , 0.034835 , 0.034501 , 0.031782 , 0.034198 , 0.035861 , 0.039009 , 0.047243 , 0.030603 , 0.035237 , 0.039845 , 0.040274 , 0.054909 , 0.049326 , 0.049972 , 0.037694 , 0.050848 , 0.047225 , 0.032283 , 0.030296 , 0.035648 , 0.038905 , 0.031172 , 0.034216 , 0.030187 , 0.02792 , 0.030905 , 0.029198 , 0.032527 , 0.029758 , 0.027378 , 0.034135 , 0.030368 , 0.048549 , 0.038106 , 0.035499 , 0.069788 , 0.053292 , 0.064878 , 0.056688 , 0.049936 , 0.039406 , 0.038074 , 0.050848 , 0.032062 , 0.029568 , 0.030395 , 0.037767 , 0.036086 , 0.050934 , 0.032328 , 0.028082 , 0.033439 , 0.028561 , 0.032861 , 0.033963 , 0.053825 , 0.043666 , 0.04279 , 0.032459 , 0.041931 , 0.039569 , 0.051255 , 0.053152 , 0.057529 , 0.066554 , 0.035178 , 0.044208 , 0.024564 , 0.028258 , 0.030395 
 434 , 0.054132 , 0.033827 , 0.045369 , 0.046693 , 0.041386 , 0.044718 , 0.048004 , 0.045498 , 0.040662 , 0.039388 , 0.044303 , 0.049661 , 0.049444 , 0.042272 , 0.047501 , 0.035964 , 0.035511 , 0.032193 , 0.034935 , 0.036056 , 0.030246 , 0.029106 , 0.024662 , 0.03074 , 0.034713 , 0.027874 , 0.033707 , 0.026596 , 0.031381 , 0.036808 , 0.035678 , 0.035285 , 0.032535 , 0.03499 , 0.036744 , 0.039974 , 0.04841 , 0.031363 , 0.036074 , 0.04086 , 0.041239 , 0.056348 , 0.050607 , 0.051271 , 0.038539 , 0.052176 , 0.048405 , 0.033084 , 0.030966 , 0.036485 , 0.039808 , 0.031926 , 0.035101 , 0.030906 , 0.028561 , 0.031658 , 0.0299 , 0.033384 , 0.030495 , 0.027985 , 0.034981 , 0.031146 , 0.049776 , 0.03906 , 0.036398 , 0.071604 , 0.054663 , 0.066588 , 0.05811 , 0.051151 , 0.04032 , 0.038876 , 0.051834 , 0.03283 , 0.030089 , 0.03109 , 0.03871 , 0.03685 , 0.05218 , 0.033029 , 0.028631 , 0.034215 , 0.029148 , 0.033592 , 0.034741 , 0.055277 , 0.044644 , 0.043804 , 0.033246 , 0.043117 , 0.040592 , 0.052545 , 0.054386 , 0.05901 , 0.068328 , 0.035862 , 0.045124 , 0.025119 , 0.028834 , 0.030961 
 435 , 0.055441 , 0.034659 , 0.046539 , 0.04775 , 0.042317 , 0.045842 , 0.049192 , 0.046643 , 0.041643 , 0.040291 , 0.045399 , 0.050865 , 0.050705 , 0.043274 , 0.048674 , 0.036766 , 0.036346 , 0.032954 , 0.035762 , 0.036898 , 0.030908 , 0.029759 , 0.02523 , 0.031417 , 0.035508 , 0.028416 , 0.034443 , 0.027204 , 0.032124 , 0.037652 , 0.036521 , 0.036064 , 0.033283 , 0.035786 , 0.037628 , 0.040936 , 0.049569 , 0.032119 , 0.036907 , 0.041874 , 0.042199 , 0.057783 , 0.051883 , 0.052562 , 0.039377 , 0.053499 , 0.049579 , 0.033882 , 0.031634 , 0.037322 , 0.04071 , 0.03268 , 0.035979 , 0.03162 , 0.029198 , 0.032407 , 0.030597 , 0.03424 , 0.031229 , 0.028585 , 0.035823 , 0.031926 , 0.051002 , 0.040017 , 0.037298 , 0.073419 , 0.05603 , 0.068296 , 0.059527 , 0.052359 , 0.041228 , 0.039673 , 0.052816 , 0.033594 , 0.030607 , 0.03178 , 0.039645 , 0.037609 , 0.053419 , 0.033722 , 0.029174 , 0.034985 , 0.02973 , 0.034315 , 0.035517 , 0.056727 , 0.04562 , 0.04481 , 0.034023 , 0.044306 , 0.04161 , 0.053829 , 0.05562 , 0.060483 , 0.070092 , 0.03654 , 0.04604 , 0.025673 , 0.029405 , 0.031526 
 436 , 0.056735 , 0.035479 , 0.047697 , 0.048803 , 0.043252 , 0.046966 , 0.050376 , 0.047779 , 0.042622 , 0.041194 , 0.04649 , 0.05206 , 0.051959 , 0.044277 , 0.049837 , 0.037572 , 0.037177 , 0.033704 , 0.036581 , 0.03773 , 0.031559 , 0.030409 , 0.025787 , 0.032088 , 0.036297 , 0.028957 , 0.035176 , 0.027807 , 0.032863 , 0.03849 , 0.037355 , 0.036836 , 0.034027 , 0.036571 , 0.038505 , 0.041886 , 0.050723 , 0.032867 , 0.037735 , 0.042877 , 0.043156 , 0.059208 , 0.053152 , 0.053844 , 0.040212 , 0.054806 , 0.050747 , 0.034671 , 0.0323 , 0.038144 , 0.041607 , 0.033425 , 0.036845 , 0.032334 , 0.029832 , 0.033151 , 0.03129 , 0.03509 , 0.031949 , 0.029188 , 0.036667 , 0.032689 , 0.052219 , 0.040963 , 0.038183 , 0.075216 , 0.057394 , 0.069992 , 0.06093 , 0.053556 , 0.042122 , 0.040458 , 0.053801 , 0.034349 , 0.031131 , 0.032459 , 0.040573 , 0.03837 , 0.054652 , 0.034411 , 0.029717 , 0.035758 , 0.030304 , 0.035037 , 0.036283 , 0.058154 , 0.0466 , 0.045816 , 0.034801 , 0.04547 , 0.042618 , 0.055109 , 0.05686 , 0.061945 , 0.071844 , 0.03723 , 0.046947 , 0.02621 , 0.029977 , 0.032093 
 437 , 0.057958 , 0.036217 , 0.04877 , 0.049829 , 0.044203 , 0.048103 , 0.051556 , 0.048858 , 0.043585 , 0.042147 , 0.047573 , 0.053204 , 0.05316 , 0.045307 , 0.050997 , 0.038395 , 0.037958 , 0.034431 , 0.037374 , 0.038488 , 0.03217 , 0.031056 , 0.026318 , 0.032705 , 0.037036 , 0.029575 , 0.035883 , 0.028368 , 0.033543 , 0.039278 , 0.038199 , 0.037561 , 0.03473 , 0.037365 , 0.039371 , 0.042707 , 0.05187 , 0.033538 , 0.038557 , 0.043791 , 0.044134 , 0.060631 , 0.054396 , 0.055049 , 0.041044 , 0.055942 , 0.051885 , 0.035378 , 0.032969 , 0.038846 , 0.042506 , 0.034083 , 0.03761 , 0.033048 , 0.030448 , 0.033823 , 0.03188 , 0.035908 , 0.032572 , 0.029781 , 0.037536 , 0.033372 , 0.053391 , 0.041853 , 0.038964 , 0.076981 , 0.058743 , 0.0716 , 0.06226 , 0.054676 , 0.042854 , 0.041147 , 0.054843 , 0.034986 , 0.031723 , 0.033068 , 0.041338 , 0.03917 , 0.055799 , 0.035044 , 0.030237 , 0.036585 , 0.03085 , 0.035692 , 0.037002 , 0.059351 , 0.047661 , 0.046778 , 0.035555 , 0.046469 , 0.043546 , 0.056344 , 0.058227 , 0.063295 , 0.073474 , 0.038051 , 0.047725 , 0.026597 , 0.030541 , 0.032724 
 438 , 0.059177 , 0.036951 , 0.049847 , 0.050857 , 0.045152 , 0.049242 , 0.052742 , 0.049937 , 0.044546 , 0.043101 , 0.048657 , 0.054347 , 0.054362 , 0.046342 , 0.052152 , 0.039211 , 0.038736 , 0.035161 , 0.038166 , 0.039241 , 0.032776 , 0.031706 , 0.026846 , 0.033316 , 0.037771 , 0.030191 , 0.036586 , 0.028931 , 0.034226 , 0.040066 , 0.039036 , 0.038291 , 0.035436 , 0.038156 , 0.040241 , 0.043531 , 0.053022 , 0.034211 , 0.039371 , 0.044706 , 0.045107 , 0.062052 , 0.055642 , 0.056247 , 0.041871 , 0.057082 , 0.053027 , 0.036086 , 0.033631 , 0.039546 , 0.043401 , 0.034741 , 0.038376 , 0.033761 , 0.031066 , 0.034491 , 0.032471 , 0.036726 , 0.033191 , 0.030376 , 0.038406 , 0.034051 , 0.054567 , 0.042746 , 0.039746 , 0.078748 , 0.060092 , 0.073207 , 0.063587 , 0.055797 , 0.043586 , 0.041836 , 0.055887 , 0.035626 , 0.032321 , 0.033676 , 0.042101 , 0.039971 , 0.056952 , 0.035676 , 0.030756 , 0.037411 , 0.031396 , 0.036346 , 0.037716 , 0.060547 , 0.048727 , 0.047742 , 0.036306 , 0.047467 , 0.044466 , 0.057582 , 0.059597 , 0.064642 , 0.075103 , 0.038871 , 0.048507 , 0.026981 , 0.031111 , 0.033356 
 439 , 0.0604 , 0.037687 , 0.050924 , 0.051886 , 0.046104 , 0.050378 , 0.053924 , 0.051015 , 0.045508 , 0.044056 , 0.049736 , 0.055489 , 0.055565 , 0.047372 , 0.053308 , 0.040036 , 0.039516 , 0.035888 , 0.038961 , 0.04 , 0.033382 , 0.032353 , 0.02737 , 0.033932 , 0.038507 , 0.030814 , 0.037295 , 0.029494 , 0.03491 , 0.040851 , 0.039873 , 0.039017 , 0.036138 , 0.038945 , 0.041111 , 0.044351 , 0.054169 , 0.03488 , 0.040194 , 0.04562 , 0.046083 , 0.063472 , 0.056885 , 0.05745 , 0.0427 , 0.058225 , 0.054164 , 0.036795 , 0.034299 , 0.040245 , 0.0443 , 0.035399 , 0.039139 , 0.034472 , 0.03168 , 0.035165 , 0.033061 , 0.037544 , 0.03381 , 0.030972 , 0.039277 , 0.034732 , 0.055738 , 0.043638 , 0.04053 , 0.080515 , 0.061445 , 0.074814 , 0.064914 , 0.05692 , 0.044315 , 0.042527 , 0.05693 , 0.03626 , 0.032913 , 0.034289 , 0.042868 , 0.040774 , 0.058102 , 0.036306 , 0.031278 , 0.038242 , 0.03194 , 0.036999 , 0.038436 , 0.06174 , 0.049792 , 0.048707 , 0.03706 , 0.048468 , 0.045396 , 0.058821 , 0.06096 , 0.065994 , 0.076734 , 0.039694 , 0.049283 , 0.027365 , 0.031675 , 0.033983 
 440 , 0.061564 , 0.038368 , 0.051967 , 0.052805 , 0.046961 , 0.051444 , 0.055021 , 0.052065 , 0.046417 , 0.044952 , 0.05076 , 0.056568 , 0.056703 , 0.048322 , 0.05441 , 0.04078 , 0.040263 , 0.036587 , 0.039719 , 0.040734 , 0.033989 , 0.03299 , 0.027906 , 0.034574 , 0.039248 , 0.031364 , 0.037985 , 0.03006 , 0.035583 , 0.041634 , 0.040666 , 0.039735 , 0.036815 , 0.039709 , 0.041945 , 0.045242 , 0.055228 , 0.035573 , 0.040956 , 0.046505 , 0.047007 , 0.064758 , 0.05807 , 0.058556 , 0.04355 , 0.059436 , 0.055357 , 0.037529 , 0.035003 , 0.041023 , 0.045165 , 0.03607 , 0.04004 , 0.035205 , 0.032353 , 0.035852 , 0.033704 , 0.038358 , 0.034418 , 0.031509 , 0.040102 , 0.035428 , 0.056832 , 0.044487 , 0.041334 , 0.082156 , 0.062703 , 0.076327 , 0.066202 , 0.058007 , 0.045128 , 0.043296 , 0.057904 , 0.036929 , 0.033559 , 0.034936 , 0.043767 , 0.041526 , 0.059322 , 0.037032 , 0.031897 , 0.039005 , 0.032591 , 0.037731 , 0.03917 , 0.063034 , 0.050735 , 0.049699 , 0.037861 , 0.049611 , 0.046278 , 0.060042 , 0.062154 , 0.067434 , 0.078351 , 0.040464 , 0.050238 , 0.027922 , 0.032255 , 0.034605 
